date,result,method,rounds,fighter,opponent,fight_time,ground_str_lnd_mean_dif,ground_str_att_mean_dif,sig_str%_mean_dif,total_str_lnd_mean_dif,ctrl_mean_dif
2023-10-14,W,Submission,3,Darren Elkins,TJ Brown,10.38,0.6577249184444536,0.772820365879352,-1.0125470906954857,0.334604169308734,-0.03261331407911566
2023-10-14,W,Decision - Unanimous,3,Emily Ducote,Ashley Yoder,25.0,-1.1775827083230865,-1.0161855683972139,0.34349229545968085,0.4117904886301481,-1.6060400800731394
2023-10-14,W,Decision - Unanimous,3,Chris Gutierrez, Alatengheili,25.0,0.020076429532846395,0.03126795412110218,1.224917896460539,0.23587113893999917,-0.31049775485132997
2023-10-14,W,KO/TKO,3,Terrance McKinney,Brendon Marotte,0.33,,,,,
2023-10-14,W,Decision - Unanimous,3,Tainara Lisboa,Ravena Oliveira,25.0,,,,,
2023-10-14,L,Decision - Unanimous,3,Irina Alekseeva,Melissa Dixon,25.0,,,,,
2023-10-14,W,Decision - Unanimous,3,Christian Rodrigue,Cameron Saaiman,25.0,-1.8177767001844405,-1.9699783575648353,-0.5379333055411776,-1.2582159891261024,-0.3367841208703233
2023-10-14,W,Decision - Unanimous,5,Edson Barboza,Sodiq Yusuff,25.0,-0.3439304922809652,-0.3339229786683025,-0.605735274848936,-0.3827103883425708,-0.47572634125643026
2023-10-14,L,KO/TKO,3,Adrian Yane,Jonathan Martinez,10.43,-0.7473927098158544,-0.6234979065507246,-0.5379333055411776,-0.6377252595988331,-0.7761419529020672
2023-10-14,L,Decision - Unanimous,3,Jennifer Mai,Viviane Araujo,25.0,-0.1784728005474145,-0.18440951442040507,-0.5379333055411771,-0.3382532503588587,-0.25041463252220264
2023-10-14,W,KO/TKO,3,Michel Pereira,Andre Petrosk,5.1,-1.6230457245288,-1.4269179586874148,0.5468982033829556,0.4240639316317861,-1.6623680072566962
2023-10-07,L,KO/TKO,3,Mateus Mendonca,Nate Maness,20.67,-0.0193788661882311,0.04071995473447499,-0.4023293669256608,0.11095476350110282,0.7034049344526948
2023-10-07,L,Decision - Unanimous,3,Montana De La Ros,JJ Aldric,25.0,0.21480740518848684,0.11891377799055926,-0.4701313362334192,-0.3597999614061794,0.6545873975602788
