,result,fighter,opponent,date,weight class,method,norm_td_acc_dif,norm_td_def_dif,norm_sub_avg_dif,str_dif,slpm_dif,str. def_dif,str. acc._dif,sapm_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif
6122,lose,Jeff Hughes,Juan Espino,2020-09-26,Heavyweight,SUB:Scarf Hold,-0.9863238059752425,-0.15682493024017166,-2.27998327464449,-0.3810774648088811,0.9970169969930409,1.687051073945588,-1.5203509070698367,1.0555762271773088,-0.35253776433502426,-1.9774572747132926,-0.747383730496015,1.778511183606808
6123,lose,Khadis Ibragimov,Danilo Marques,2020-09-26,Light Heavyweight,U-DEC:,0.061163711226585114,2.6836706316553647,-0.4740364342350468,0.10766918345385762,1.337788418674968,-0.41381592842938014,-2.411993873056455,1.0678532086087784,-0.35253776433502426,-1.9774572747132926,-0.37134941189738563,2.3666399190971563
6124,lose,Chris Leben,Mark Munoz,2011-11-05,Middleweight,KO/TKO:,0.4103262169605278,-0.12340733539434162,0.19131240170527447,-1.0202076971524625,-0.15150890571271436,-0.4138159284293792,-0.7097663925365487,0.37420375773073067,1.9897065661154227,-0.2969994815203715,-1.4994523676932738,0.6022537126261116
6125,lose,Brad Pickett,Renan Barao,2011-11-05,Bantamweight,SUB:Rear Naked Choke,0.0960799617999796,-1.0925175859234073,-0.09383709941200609,-1.0202076971524625,-0.47334858174564554,-0.16171188814438284,-0.385532586723233,0.4478656463195498,-0.35253776433502426,-1.9774572747132926,-0.747383730496015,0.6022537126261116
6126,lose,Papy Abedi,Thiago Alves,2011-11-05,Welterweight,SUB:Rear Naked Choke,-0.11341754164038612,-0.42416568900681045,0.9517110713513559,-0.4186733608290918,-0.5806284737566229,-1.1701280492843684,1.154577990890016,-0.16598342525394422,1.9897065661154227,-1.3645844324899916,-0.37134941189738563,0.6022537126261116
6127,lose,Cyrille Diabate,Anthony Perosh,2011-11-05,Light Heavyweight,SUB:Rear Naked Choke,2.121222495056846,0.6786149409055742,-0.8542357690580876,-0.0051185046067744044,1.1358497984190108,0.5946002327106046,2.2893963112366196,-1.2218038283603538,1.9897065661154227,0.1972528105951935,-0.747383730496015,0.6022537126261116
6128,lose,Edward Faaloloto,Terry Etim,2011-11-05,Lightweight,SUB:Guillotine Choke,-0.1832500427871745,-0.19024252508600153,-1.3294849375868882,-0.19309798470782777,0.08198262395823565,-1.9264401701393572,-0.22341568381657506,2.2832743703242966,-0.35253776433502426,-1.3250442491207466,-0.37134941189738563,1.1903824481164595
6129,lose,Justin Edwards,John Maguire,2011-11-05,Welterweight,U-DEC:,-0.7069938013880884,-1.6606166983025143,-0.09383709941200619,0.032477391413436266,0.8076995405030812,-1.1701280492843684,0.10081812199674024,0.5399430070555737,-0.6881393265757445,-1.3250442491207464,-0.37134941189738563,0.6022537126261116
6130,lose,Rob Broughton,Philip De Fries,2011-11-05,Heavyweight,U-DEC:,-1.475151314002762,-2.46263897460243,2.4725084106435187,0.5588199356963857,0.34071648116118086,1.1828429933755962,1.0735195394366865,-0.28261474885290805,-0.35253776433502426,-1.3250442491207464,-0.37134941189738563,1.1903824481164595
6131,win,Michihiro Omigawa,Jason Young,2011-11-05,Featherweight,U-DEC:,-1.056156307122031,-0.19024252508600173,1.4269602398801566,-0.2682897767482491,-0.599560219405619,1.1828429933755962,0.1818765734500692,-0.08618304594939008,-0.35253776433502426,0.39495372744141954,0.3807192252998732,-1.162132493844933
6132,win,Che Mills,Chris Cope,2011-11-05,Welterweight,KO/TKO:Knee,2.295803747923818,-0.7249240426192792,0.0012127342937540688,0.37084045559533235,-1.180133752641495,-0.5818852886193773,2.127279408329962,-1.1972498654974142,-0.35253776433502426,0.9880564779800974,0.3807192252998732,-0.5740037583545848
