name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Darrell Horcher,13,4,0,177.8,69.75,177.8,Southpaw,36,2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7,04-18-2023,11-30-2018,http://ufcstats.com/fighter-details/18e8b7070228e728
Demetrious Johnson,27,3,1,160.02,56.25,167.64000000000001,Orthodox,37,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,04-18-2023,08-04-2018,http://ufcstats.com/fighter-details/8a304bfd6bf04a57
Ryan Jimmo,19,5,0,185.42,92.25,185.42000000000002,Orthodox,42,3.12,0.66,2.77,0.46,0.45,0.28,0.87,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/bc3ec52ef70fc155
Wendell Oliveira Marques,29,10,0,177.8,76.5,182.27,Orthodox,40,3.77,0.47,4.4,0.47,0.0,0.0,1.0,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/32c03df3c9760069
Luiz Dutra,13,6,1,180.34,76.5,184.88,Orthodox,41,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0,04-18-2023,05-30-2015,http://ufcstats.com/fighter-details/2153a7f8396a46cc
Josh Sampo,11,5,0,162.56,56.25,162.56,Orthodox,39,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,04-18-2023,05-23-2015,http://ufcstats.com/fighter-details/f65dcb22dada2223
Constantinos Philippou,13,5,0 (1 NC),180.34,83.25,185.42000000000002,Orthodox,44,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/05560764359161e4
Mark Munoz,14,6,0,182.88,83.25,180.34,Orthodox,45,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/179f1948dc234f1f
Luke Barnatt,13,4,0,198.12,83.25,195.58,Orthodox,35,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/172c2135e70f87b7
Zhang Lipeng,23,9,1,180.34,69.75,180.34,Southpaw,33,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/7b310409440c9102
Royston Wee,4,1,0,170.18,60.75,170.18,Orthodox,37,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/b9c03e7a4557e542
Roldan Sangcha'an,4,2,0,162.56,56.25,166.65,Orthodox,33,2.71,0.46,2.15,0.51,1.94,0.6,0.68,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/57887765f831e228
Nolan Ticman,4,3,0,167.64,56.25,171.86,Orthodox,35,2.57,0.47,2.53,0.67,0.0,0.0,0.6,0.0,04-18-2023,05-16-2015,http://ufcstats.com/fighter-details/9eb069062a0cfc13
Hatsu Hioki,29,10,2,180.34,65.25,185.42000000000002,Orthodox,40,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/ef7fa30364cbe7f2
Lisa Ellis,15,11,0,162.56,51.75,166.65,Orthodox,41,1.68,0.48,2.32,0.57,4.19,0.63,0.5,0.6,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/77350fd0e6d1dba8
Dylan Andrews,18,7,0 (1 NC),185.42,83.25,187.96,Switch,44,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Vik Grujic,6,6,0,180.34,76.5,185.42000000000002,Orthodox,46,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/1e7483dbff40b84b
Alptekin Ozkilic,9,5,0,165.1,56.25,165.1,Orthodox,37,3.81,0.32,5.72,0.59,4.21,0.58,0.75,0.0,04-18-2023,05-09-2015,http://ufcstats.com/fighter-details/e18a19001a3f7c7d
Quinton Jackson,37,12,0,185.42,92.25,185.42000000000002,Orthodox,45,3.25,0.54,2.51,0.55,1.52,0.56,0.73,0.1,04-18-2023,04-25-2015,http://ufcstats.com/fighter-details/ffc088e64fab57e9
David Michaud,11,3,0,175.26,69.75,179.67,Orthodox,35,3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7,04-18-2023,04-25-2015,http://ufcstats.com/fighter-details/49f4b511932f71e9
Chris Clements,12,6,0 (1 NC),177.8,76.5,177.8,Orthodox,47,3.2,0.49,2.37,0.44,0.0,0.0,0.32,0.3,04-18-2023,04-25-2015,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc
Jessica Rakoczy,1,5,0 (1 NC),170.18,51.75,174.46,Orthodox,46,2.5,0.44,3.55,0.64,0.75,0.2,0.0,0.8,04-18-2023,04-25-2015,http://ufcstats.com/fighter-details/ffdeb4fbea09ce75
Jimy Hettes,11,3,0,175.26,65.25,180.34,Southpaw,36,3.47,0.57,3.5,0.57,5.2,0.44,0.61,1.4,04-18-2023,04-18-2015,http://ufcstats.com/fighter-details/893d51aaf024eddd
Mirko Filipovic,35,11,2 (1 NC),187.96,103.5,185.42000000000002,Southpaw,49,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3,04-18-2023,04-11-2015,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d
Seth Baczynski,20,14,0,190.5,76.5,190.5,Orthodox,42,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,04-18-2023,04-11-2015,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
Izabela Badurek,6,3,0,165.1,51.75,169.25,Orthodox,32,3.74,0.71,4.9,0.32,1.75,0.12,1.0,0.0,04-18-2023,04-11-2015,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
Marcin Bandel,15,7,0,177.8,69.75,182.27,Orthodox,34,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0,04-18-2023,04-11-2015,http://ufcstats.com/fighter-details/5c2ce761399dc9c5
Rocky Lee,3,2,0,175.26,65.25,179.67,Orthodox,36,2.47,0.51,5.33,0.44,1.0,0.1,0.33,0.0,04-18-2023,04-11-2015,http://ufcstats.com/fighter-details/0d1c163b206e8c5f
Robert Peralta,18,8,0 (1 NC),172.72,65.25,180.34,Orthodox,37,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0,04-18-2023,04-04-2015,http://ufcstats.com/fighter-details/960d6cae8879ba2b
Justin Jones,9,2,0,180.34,83.25,184.88,Orthodox,36,1.7,0.36,3.17,0.45,1.0,0.15,0.46,0.5,04-18-2023,04-04-2015,http://ufcstats.com/fighter-details/9b75954db8db2a08
Josh Koscheck,17,11,0,177.8,76.5,185.42000000000002,Orthodox,46,1.79,0.36,2.27,0.63,2.46,0.48,0.64,0.4,04-18-2023,03-21-2015,http://ufcstats.com/fighter-details/dd37fd509af89f15
Shayna Baszler,15,11,0,170.18,60.75,174.46,Orthodox,43,2.49,0.3,6.36,0.51,0.67,0.18,0.44,1.3,04-18-2023,03-21-2015,http://ufcstats.com/fighter-details/8ef4a91ac694b7ce
Cain Carrizosa,10,3,0,172.72,69.75,177.06,Orthodox,37,2.72,0.42,5.8,0.51,0.0,0.0,0.14,0.0,04-18-2023,03-21-2015,http://ufcstats.com/fighter-details/064b7dc68d786254
Jorge de Oliveira,9,2,0,172.72,69.75,177.06,Orthodox,43,1.26,0.31,4.84,0.48,0.0,0.0,0.22,0.0,04-18-2023,03-21-2015,http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c
Bentley Syler,5,1,0,162.56,56.25,166.65,Orthodox,41,1.3,0.18,1.73,0.79,0.0,0.0,0.75,0.0,04-18-2023,03-21-2015,http://ufcstats.com/fighter-details/abd2109bc4cb0291
Roger Narvaez,8,3,0,190.5,83.25,195.29,Southpaw,40,2.12,0.37,3.32,0.64,0.0,0.0,0.5,0.9,04-18-2023,03-14-2015,http://ufcstats.com/fighter-details/3a12a2f096a6d975
Josh Copeland,12,4,0,185.42,119.25,190.08,Orthodox,41,1.03,0.31,3.01,0.55,0.0,0.0,0.57,0.0,04-18-2023,03-14-2015,http://ufcstats.com/fighter-details/3aa794cbe1e3484b
Jake Lindsey,12,7,0,180.34,69.75,184.88,Switch,37,3.44,0.52,4.01,0.46,0.65,0.33,0.5,0.0,04-18-2023,03-14-2015,http://ufcstats.com/fighter-details/33e00249ef08d3a4
Larissa Pacheco,10,2,0,170.18,60.75,174.46,Orthodox,29,1.21,0.19,4.14,0.55,0.0,0.0,0.0,0.0,04-18-2023,03-14-2015,http://ufcstats.com/fighter-details/16b89be2f5c16fba
Norifumi Yamamoto,18,6,0 (2 NC),162.56,60.75,167.64000000000001,Southpaw,46,2.09,0.45,2.01,0.57,0.41,0.22,0.45,0.0,04-18-2023,02-28-2015,http://ufcstats.com/fighter-details/4834ff149dc9542a
Ruan Potts,11,6,0,187.96,111.15,190.5,Orthodox,45,0.85,0.37,5.92,0.22,0.75,0.16,0.33,2.3,04-18-2023,02-28-2015,http://ufcstats.com/fighter-details/7e208569469c8bc8
Alex Torres,5,4,0,177.8,65.25,182.27,Orthodox,35,2.47,0.37,2.73,0.69,2.0,0.22,0.5,0.0,04-18-2023,02-28-2015,http://ufcstats.com/fighter-details/e4e0f310b3cf23a8
William Macario,9,3,0,180.34,76.5,190.5,Orthodox,32,4.92,0.54,3.96,0.65,1.85,0.45,0.78,0.0,04-18-2023,02-22-2015,http://ufcstats.com/fighter-details/ed74afc8b5b47a61
Cody Gibson,15,7,0,177.8,60.75,180.34,Orthodox,36,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,04-18-2023,02-22-2015,http://ufcstats.com/fighter-details/700a674c042b7a96
Josh Shockley,11,4,0,185.42,69.75,190.08,Orthodox,34,1.4,0.33,1.75,0.6,0.0,0.0,0.61,0.8,04-18-2023,02-22-2015,http://ufcstats.com/fighter-details/1d36f1ac66cf689d
Patrick Walsh,10,3,0,180.34,83.25,184.88,Orthodox,35,2.03,0.19,2.83,0.64,3.0,0.54,1.0,1.5,04-18-2023,02-14-2015,http://ufcstats.com/fighter-details/b4c96c3d9139bf0e
Rodrigo de Lima,8,3,1,170.18,69.75,174.46,Orthodox,32,1.29,0.33,5.5,0.32,2.66,0.36,0.0,1.3,04-18-2023,02-14-2015,http://ufcstats.com/fighter-details/a4dc47001f202bcd
Ian McCall,13,5,1,165.1,56.25,162.56,Orthodox,39,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,04-18-2023,01-31-2015,http://ufcstats.com/fighter-details/701e057d63c124d9
Richardson Moreira,7,4,0,187.96,83.25,192.69,Orthodox,39,1.17,0.28,1.83,0.67,0.0,0.0,1.0,0.0,04-18-2023,01-31-2015,http://ufcstats.com/fighter-details/9147679e1a4ad4a3
Andy Enz,10,4,0,190.5,83.25,198.12,Orthodox,32,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0,04-18-2023,01-31-2015,http://ufcstats.com/fighter-details/993d385f5a475375
Phil Davis,17,4,0 (1 NC),187.96,92.25,200.66,Orthodox,39,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,04-18-2023,01-24-2015,http://ufcstats.com/fighter-details/902ab9197b83d0db
Akira Corassani,12,6,0 (1 NC),172.72,65.25,172.72,Orthodox,41,3.25,0.45,4.91,0.5,0.7,0.28,0.86,0.0,04-18-2023,01-24-2015,http://ufcstats.com/fighter-details/3f52ce18fb98008f
Andy Ogle,9,6,0,172.72,65.25,175.26,Orthodox,34,2.24,0.44,2.23,0.5,1.44,0.26,0.58,0.0,04-18-2023,01-24-2015,http://ufcstats.com/fighter-details/b6c4451cb13c9303
Stanislav Nedkov,12,2,0 (1 NC),180.34,92.25,180.34,Orthodox,42,3.33,0.43,5.39,0.43,2.77,0.41,0.0,0.0,04-18-2023,01-24-2015,http://ufcstats.com/fighter-details/1d4bbaabd8b60173
Shane Howell,13,10,0,172.72,56.25,177.06,Orthodox,40,1.27,0.32,2.55,0.42,0.0,0.0,0.2,0.0,04-18-2023,01-18-2015,http://ufcstats.com/fighter-details/a7de976620f2ed13
Matt Van Buren,7,6,0,195.58,92.25,200.5,Orthodox,37,7.73,0.45,6.82,0.49,0.0,0.0,0.5,0.0,04-18-2023,01-18-2015,http://ufcstats.com/fighter-details/7b39035fae7268b8
Tateki Matsuda,13,8,0,170.18,56.25,174.46,Orthodox,37,3.2,0.34,3.43,0.69,0.0,0.0,0.16,0.0,04-18-2023,01-18-2015,http://ufcstats.com/fighter-details/3a524c6700addc24
Louis Gaudinot,8,4,0 (1 NC),160.02,56.25,160.02,Orthodox,39,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,04-18-2023,01-03-2015,http://ufcstats.com/fighter-details/b72a60a0cadff408
Rodrigo Damm,13,9,0,170.18,69.75,180.34,Orthodox,43,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,04-18-2023,01-03-2015,http://ufcstats.com/fighter-details/a20d7dfaba74c067
Mats Nilsson,11,4,1,185.42,76.5,190.08,Orthodox,40,2.99,0.39,5.62,0.63,3.87,0.83,0.44,2.3,04-18-2023,01-03-2015,http://ufcstats.com/fighter-details/a9bcf8717dd12532
Alexis Dufresne,6,3,0,175.26,60.75,179.67,Orthodox,33,1.33,0.27,3.33,0.6,1.5,0.5,0.5,0.0,04-18-2023,01-03-2015,http://ufcstats.com/fighter-details/4ae4049426e0161d
Mike Rhodes,10,5,0,185.42,76.5,187.96,Orthodox,34,3.2,0.39,4.13,0.64,0.96,0.33,0.75,0.5,04-18-2023,12-20-2014,http://ufcstats.com/fighter-details/b7ad576b8ae115e6
Tom Niinimaki,22,8,1,175.26,65.25,175.26,Orthodox,41,1.91,0.54,2.31,0.58,2.97,0.46,0.33,0.5,04-18-2023,12-20-2014,http://ufcstats.com/fighter-details/5fceb45939fc0c8a
Jamie Varner,21,11,1 (2 NC),172.72,69.75,180.34,Orthodox,39,2.92,0.34,2.55,0.58,3.49,0.53,0.66,0.8,04-18-2023,12-13-2014,http://ufcstats.com/fighter-details/a54fc2d6fc224dc3
Joe Ellenberger,15,2,0,175.26,69.75,182.88,Orthodox,38,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1,04-18-2023,12-13-2014,http://ufcstats.com/fighter-details/8e8e4487c621aa1c
Garett Whiteley,7,3,0,182.88,69.75,182.88,Orthodox,43,3.72,0.48,4.04,0.46,0.0,0.0,0.27,0.9,04-18-2023,12-13-2014,http://ufcstats.com/fighter-details/129537073431e52e
Dustin Kimura,11,3,0,170.18,60.75,180.34,Orthodox,34,1.33,0.21,3.82,0.51,0.93,0.37,0.5,2.2,04-18-2023,12-13-2014,http://ufcstats.com/fighter-details/fe91d254db77a7fc
Brendan Schaub,10,5,0,193.04,110.25,198.12,Orthodox,40,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4,04-18-2023,12-06-2014,http://ufcstats.com/fighter-details/89a407032911e27e
Matt Hobar,9,3,0,177.8,60.75,177.8,Southpaw,36,3.23,0.42,4.27,0.52,3.66,0.44,0.5,0.0,04-18-2023,12-06-2014,http://ufcstats.com/fighter-details/b57edace7b647f07
Isaac Vallie-Flagg,16,7,1,172.72,69.75,177.8,Orthodox,45,5.56,0.47,5.6,0.45,0.2,0.12,0.58,0.0,04-18-2023,11-22-2014,http://ufcstats.com/fighter-details/c295de4e10acd4c9
Yves Edwards,42,22,1 (1 NC),175.26,69.75,185.42000000000002,Southpaw,47,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7,04-18-2023,11-22-2014,http://ufcstats.com/fighter-details/5f04e3d58d9ce982
Juan Manuel Puig,11,4,0,175.26,65.25,179.67,Orthodox,34,4.91,0.23,7.17,0.51,0.0,0.0,0.0,0.0,04-18-2023,11-22-2014,http://ufcstats.com/fighter-details/85d0fafb8b75d634
Chris Heatherly,9,4,0 (1 NC),175.26,69.75,179.67,Orthodox,36,1.08,0.45,2.67,0.52,3.39,0.5,1.0,0.7,04-18-2023,11-15-2014,http://ufcstats.com/fighter-details/bad8be5827ea1bf1
Humberto Brown Morrison,4,6,0,177.8,65.25,182.27,Orthodox,39,1.71,0.5,2.19,0.62,1.43,0.25,0.0,0.0,04-18-2023,11-15-2014,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Rodolfo Rubio Perez,10,16,1,165.1,65.25,169.25,Orthodox,36,1.13,0.36,1.0,0.62,2.0,0.33,0.33,0.0,04-18-2023,11-08-2014,http://ufcstats.com/fighter-details/c4731f43693b96b8
Charlie Brenneman,19,8,0,177.8,69.75,177.8,Orthodox,42,1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0,04-18-2023,11-08-2014,http://ufcstats.com/fighter-details/98f6da59d765ec94
Tim Gorman,9,4,0,165.1,60.75,169.25,Southpaw,40,2.73,0.31,5.57,0.46,1.0,0.09,0.33,0.0,04-18-2023,11-08-2014,http://ufcstats.com/fighter-details/c10eb2f12c489f6d
Wagner Silva,6,3,0,182.88,76.5,187.48,Orthodox,36,1.69,0.29,2.87,0.65,0.0,0.0,0.58,0.0,04-18-2023,11-08-2014,http://ufcstats.com/fighter-details/fb79582c410d049e
Vagner Rocha,14,4,0,177.8,69.75,185.42000000000002,Orthodox,41,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,04-18-2023,11-07-2014,http://ufcstats.com/fighter-details/d403b1a6f278c95e
Guto Inocente,7,4,0,190.5,92.25,195.29,Orthodox,37,4.13,0.66,2.92,0.54,0.67,0.33,0.66,0.7,04-18-2023,11-07-2014,http://ufcstats.com/fighter-details/e7fe5315b1efeb92
Luke Zachrich,14,4,0,187.96,83.25,187.96,Orthodox,42,4.56,0.32,4.46,0.62,0.74,0.33,0.8,0.0,04-18-2023,11-07-2014,http://ufcstats.com/fighter-details/2284092f8b63273b
Jumabieke Tuerxun,19,4,1,170.18,60.75,174.46,Orthodox,37,1.6,0.28,3.08,0.59,0.47,0.11,0.66,0.9,04-18-2023,11-07-2014,http://ufcstats.com/fighter-details/1ed32eaaba9ffe10
Fabricio Camoes,14,9,1,177.8,69.75,180.34,Orthodox,45,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,04-18-2023,10-25-2014,http://ufcstats.com/fighter-details/7abe471b61725980
Bruno Santos,15,2,0,175.26,83.25,179.67,Orthodox,36,1.18,0.46,2.27,0.56,3.0,0.37,0.66,0.3,04-18-2023,10-04-2014,http://ufcstats.com/fighter-details/da1d8d76404bb6b5
Anthony Njokuani,16,12,0 (1 NC),185.42,69.75,190.5,Orthodox,43,3.94,0.46,2.41,0.65,0.5,0.45,0.53,0.2,04-18-2023,10-04-2014,http://ufcstats.com/fighter-details/6bf5a7d3e081ade2
Tor Troeng,16,7,1,187.96,83.25,192.69,Orthodox,40,1.16,0.46,3.26,0.32,0.62,0.07,0.66,0.3,04-18-2023,10-04-2014,http://ufcstats.com/fighter-details/8abf70f79e9e27c2
Ernest Chavez,10,2,0,172.72,65.25,177.8,Orthodox,40,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0,04-18-2023,10-04-2014,http://ufcstats.com/fighter-details/b406da701c479076
Amir Sadollah,6,5,0,177.8,76.5,190.5,Orthodox,43,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3,04-18-2023,09-20-2014,http://ufcstats.com/fighter-details/2650e2f846a30f64
Takenori Sato,19,11,7 (1 NC),177.8,76.5,182.27,Southpaw,38,0.46,0.33,12.92,0.09,0.0,0.0,0.0,0.0,04-18-2023,09-20-2014,http://ufcstats.com/fighter-details/276c60b14b571dd4
Kazuki Tokudome,18,7,1,180.34,69.75,185.42000000000002,Southpaw,36,2.26,0.41,3.63,0.53,2.0,0.38,0.78,0.0,04-18-2023,09-20-2014,http://ufcstats.com/fighter-details/c4af2feb4b58bc3b
Dashon Johnson,9,2,0,170.18,65.25,174.46,Orthodox,35,1.01,0.69,3.83,0.35,0.85,0.33,0.63,0.8,04-18-2023,09-13-2014,http://ufcstats.com/fighter-details/36207c58e854cae5
Paulo Thiago,18,9,0,180.34,76.5,187.96,Orthodox,42,1.71,0.39,1.99,0.63,1.42,0.31,0.63,1.2,04-18-2023,09-13-2014,http://ufcstats.com/fighter-details/30a09e43f15f1d75
Johnny Bedford,21,13,1 (1 NC),177.8,60.75,180.34,Orthodox,40,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,04-18-2023,09-13-2014,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
Francis Carmont,25,12,0,190.5,92.25,198.12,Orthodox,42,2.22,0.42,1.64,0.59,1.79,0.36,0.73,0.6,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/3591d0d5d382a381
Cung Le,9,3,0,175.26,83.25,177.8,Southpaw,51,4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/d4f364dd076bb0e2
Jianping Yang,11,4,1,170.18,65.25,174.46,Orthodox,35,1.4,0.26,2.07,0.65,1.0,0.25,0.33,0.0,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/d3c554d6e11fc9d6
Sai Wang,20,6,1,182.88,76.5,187.48,Southpaw,37,3.17,0.46,2.27,0.53,0.0,0.0,0.77,0.0,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/efb9a43415a56d34
Danny Mitchell,19,9,1,187.96,76.5,192.69,Orthodox,37,2.53,0.49,2.53,0.52,0.0,0.0,1.0,3.0,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/c06d554ce1713fd3
Roland Delorme,9,5,0 (1 NC),175.26,60.75,180.34,Orthodox,40,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/173acb3f920082b8
Anying Wang,2,1,0,182.88,76.5,187.48,Orthodox,32,1.32,0.26,1.63,0.44,0.0,0.0,0.33,0.0,04-18-2023,08-23-2014,http://ufcstats.com/fighter-details/69e8c632135af48b
Jack May,9,3,0,203.2,114.75,208.31,Switch,42,1.52,0.38,3.29,0.33,0.91,0.33,0.2,0.0,04-18-2023,08-16-2014,http://ufcstats.com/fighter-details/2c6e81426dd7573c
Kyle Kingsbury,11,6,0 (1 NC),193.04,92.25,200.66,Orthodox,41,2.97,0.4,3.81,0.51,2.64,0.41,0.52,0.0,04-18-2023,07-26-2014,http://ufcstats.com/fighter-details/b959e8c7fd8390d2
Hernani Perpetuo,18,5,0 (1 NC),182.88,76.5,187.48,Orthodox,38,2.73,0.29,4.37,0.55,0.0,0.0,0.37,0.5,04-18-2023,07-26-2014,http://ufcstats.com/fighter-details/575360be653ad6a6
Steven Siler,29,16,0,180.34,65.25,177.8,Orthodox,36,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6,04-18-2023,07-26-2014,http://ufcstats.com/fighter-details/d188a3b817860ec6
Phil Harris,22,12,0 (2 NC),162.56,56.25,165.1,Orthodox,40,2.34,0.26,3.16,0.68,1.76,0.21,0.6,0.0,04-18-2023,07-19-2014,http://ufcstats.com/fighter-details/ba043b03eb799063
Mike King,5,1,0,190.5,83.25,195.29,Orthodox,40,4.44,0.58,1.29,0.72,1.75,0.25,0.4,3.5,04-18-2023,07-19-2014,http://ufcstats.com/fighter-details/564c2f5f9eb45d67
Cody Donovan,8,5,0,190.5,92.25,187.96,Orthodox,42,5.61,0.59,5.44,0.45,1.67,0.28,0.0,1.7,04-18-2023,07-19-2014,http://ufcstats.com/fighter-details/7bc96507e4b38d3b
Pat Healy,34,23,0 (1 NC),182.88,69.75,182.88,Orthodox,40,2.57,0.36,2.57,0.5,3.08,0.37,0.55,1.1,04-18-2023,07-16-2014,http://ufcstats.com/fighter-details/50d2f0018bcf9eef
Tina Lahdemaki,5,1,0,157.48,51.75,161.44,Orthodox,35,1.93,0.2,4.67,0.57,0.0,0.0,0.16,0.0,04-18-2023,07-16-2014,http://ufcstats.com/fighter-details/e5ca2bc2451a5956
Daniel Spohn,15,6,0,193.04,92.25,200.66,Southpaw,39,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5,04-18-2023,07-18-2017,http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9
Robert Drysdale,7,0,0 (1 NC),190.5,92.25,195.29,Orthodox,42,0.0,0.0,0.0,0.0,7.32,1.0,0.0,21.9,04-18-2023,07-06-2014,http://ufcstats.com/fighter-details/d2a9be6bf2de624c
Guilherme Vasconcelos,9,4,0,182.88,83.25,187.48,Orthodox,37,3.27,0.29,4.4,0.7,0.0,0.0,0.0,0.0,04-18-2023,07-05-2014,http://ufcstats.com/fighter-details/d6d5da3c209884bc
Colton Smith,7,4,0,182.88,69.75,180.34,Orthodox,36,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4,04-18-2023,06-28-2014,http://ufcstats.com/fighter-details/2e25c1d983c26311
Chris Indich,6,4,0,177.8,76.5,182.27,Orthodox,36,1.31,0.3,4.32,0.43,0.75,0.5,0.5,1.5,04-18-2023,06-28-2014,http://ufcstats.com/fighter-details/d5b7fac960e58920
Mike Easton,13,6,0,167.64,60.75,177.8,Southpaw,39,3.51,0.37,4.28,0.61,0.75,0.22,0.66,0.0,04-18-2023,06-14-2014,http://ufcstats.com/fighter-details/bc7230f231701d66
Jason High,21,6,0,172.72,69.75,185.42000000000002,Southpaw,42,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8,04-18-2023,06-07-2014,http://ufcstats.com/fighter-details/e5d03e4d966126bd
Lance Benoist,7,2,0,180.34,76.5,182.88,Southpaw,35,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,04-18-2023,06-07-2014,http://ufcstats.com/fighter-details/5431dccc09118234
Bobby Voelker,19,13,0,182.88,76.5,187.96,Orthodox,44,4.01,0.35,5.84,0.42,1.04,0.5,0.66,0.0,04-18-2023,06-07-2014,http://ufcstats.com/fighter-details/fb8a3025ae722e64
Chris Holdsworth,6,0,0,180.34,60.75,184.88,Orthodox,36,1.85,0.29,1.94,0.58,3.38,0.62,1.0,2.0,04-18-2023,05-24-2014,http://ufcstats.com/fighter-details/fc60ecf0671b9489
Ben Wall,8,7,1,177.8,69.75,182.27,Orthodox,34,1.47,0.29,8.53,0.29,0.0,0.0,1.0,0.0,04-18-2023,05-10-2014,http://ufcstats.com/fighter-details/1ad381c8994c4e5b
Anthony Lapsley,23,7,0 (2 NC),175.26,76.5,179.67,Southpaw,43,0.53,0.34,0.58,0.66,0.0,0.0,0.2,0.0,04-18-2023,05-10-2014,http://ufcstats.com/fighter-details/f3a853544e4413c4
Estevan Payan,16,12,0 (1 NC),177.8,65.25,182.27,Orthodox,41,4.25,0.42,3.58,0.57,0.36,1.0,0.6,0.4,04-18-2023,04-19-2014,http://ufcstats.com/fighter-details/d0a5ef38a7778ac2
Mark Bocek,12,5,0,172.72,69.75,190.5,Orthodox,42,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,04-18-2023,04-16-2014,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
Ronny Markes,17,5,0,185.42,83.25,190.5,Orthodox,35,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,04-18-2023,03-23-2014,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee
Thiago Perpetuo,9,4,1,177.8,76.5,182.27,Orthodox,36,5.39,0.69,3.51,0.51,2.82,0.5,0.66,0.0,04-18-2023,03-23-2014,http://ufcstats.com/fighter-details/c1a5d3843596df92
Jake Shields,31,9,1 (1 NC),182.88,76.5,182.88,Orthodox,44,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,04-18-2023,03-15-2014,http://ufcstats.com/fighter-details/fe435e440b5de0ff
