name,wins,losses,draws,height,weight,reach,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,url
Sanae Kikuta,31,9,3 (1 NC),175.26,90.0,179.67,Orthodox,52,0.7,0.45,0.9,0.52,1.6,0.63,0.25,1.8,04-18-2023,11-05-2006,http://ufcstats.com/fighter-details/e4bde462b043d3e1
Ron Waterman,16,6,2,187.96,126.0,192.69,Orthodox,58,0.84,0.5,1.37,0.42,4.19,0.69,0.5,2.8,04-18-2023,06-14-2008,http://ufcstats.com/fighter-details/efaf544314bb5c2e
Satoshi Honma,4,6,3,185.42,92.25,190.08,Orthodox,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,04-14-2000,http://ufcstats.com/fighter-details/d2b1c1317a39f6c6
Ikuhisa Minowa,60,42,8,175.26,81.45,179.67,Orthodox,47,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9,04-18-2023,09-24-2011,http://ufcstats.com/fighter-details/ce6065baef021cf3
Joe Slick,16,5,3,182.88,89.55,187.48,Orthodox,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,04-14-2000,http://ufcstats.com/fighter-details/80e6d71e14c1d356
Steve Judson,0,2,0,180.34,103.5,184.88,Orthodox,37.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,03-10-2000,http://ufcstats.com/fighter-details/6ece1d2ab1bed31d
Jermaine Andre,14,4,0,170.18,90.0,174.46,Orthodox,37.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,07-05-2002,http://ufcstats.com/fighter-details/9bad58fa651d6196
Bob Cook,5,0,0,175.26,76.5,179.67,Orthodox,37.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,03-10-2000,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a
David Velasquez,10,10,0,165.1,65.25,169.25,Orthodox,37.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,03-10-2000,http://ufcstats.com/fighter-details/09c44b317c98bf96
Scott Adams,8,1,0,182.88,101.25,187.48,Southpaw,37.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-18-2023,03-10-2000,http://ufcstats.com/fighter-details/2620f3eb21c79614
Katsuhisa Fujii,9,18,1,182.88,92.25,187.48,Orthodox,51,4.0,0.5,4.43,0.64,2.14,0.25,0.5,2.1,04-18-2023,10-14-2004,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf
