,set,fighter,opponent,kd_dif,str_dif,td_dif,sub_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,result,result_pred
735,validation,Sergio Pettis,Jussier Formiga,0.0070431212440949,0.4656809599115492,-0.7962954575837721,0.0001258851697796,-0.0172712135127385,0.2254081233321406,-0.5819646566803028,0.0057617699926063,lose,win
736,train,Jalin Turner,Vicente Luque,-1.3474497100131326,-0.362456039075145,-0.0068029365944702,0.0001258851697796,1.4881221995019178,-1.920917253728532,-1.153986284033562,0.0057617699926063,lose,lose
737,test,Aspen Ladd,Tonya Evinger,0.0070431212440949,1.5573160949394642,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,2.5505939484812026,0.5620785980262154,-1.071529169458313,win,win
738,test,Alan Patrick,Scott Holtzman,-1.3474497100131326,-1.792874491870344,-0.4015491970891212,0.0001258851697796,1.4881221995019178,0.4042685714205299,0.5620785980262154,0.0057617699926063,lose,lose
739,train,Lina Lansberg,Yana Kunitskaya,0.0070431212440949,-1.0776652654727443,-1.9805342390677247,0.0001258851697796,-0.0172712135127385,1.2730193192784214,0.5620785980262154,-1.071529169458313,lose,lose
740,validation,Nik Lentz,Gray Maynard,1.3615359525013224,2.3478105030631267,0.7826895843948315,0.8474589629562826,-0.0172712135127385,0.0465476752437513,-0.5819646566803028,1.0830527094435254,win,win
741,train,Ryan LaFlare,Anthony Rocco Martin,-2.70194254127036,-0.023672721307861,-0.0068029365944702,-0.8472071926167234,1.4881221995019178,0.5575775269248638,-0.0099430293270437,0.0057617699926063,lose,lose
742,validation,Jason Miller,Michael Bisping,0.0070431212440949,-2.809224445172196,0.3879433239001806,0.0001258851697796,-0.0172712135127385,-2.0231232240647548,-1.7260079113868212,1.0830527094435254,lose,lose
743,test,Dennis Bermudez,Diego Brandao,0.0070431212440949,0.2398254147333598,-0.0068029365944702,-0.8472071926167234,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,lose,lose
744,train,John Dodson,TJ Dillashaw,1.3615359525013224,0.2021828238703283,-0.0068029365944702,0.0001258851697796,-0.0172712135127385,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,win,win
745,train,Yves Edwards,Tony Ferguson,0.0070431212440949,-0.5883115842533343,-0.4015491970891212,-0.8472071926167234,1.4881221995019178,-0.9244090429503624,-0.5819646566803028,0.0057617699926063,lose,lose
