,set,fighter,opponent,result,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
0,train,Ciryl Gane,Tai Tuivasa,win,0.0070431212440949,3.063019729460726,-0.0068029365944702,0.0001258851697796,0.3417358643483879,0.7442828838094844,0.100671135037237,0.4757158925693525,0.6412591515526522,0.7372251754234123,-1.2202645954468392,1.4440733363038831,-1.776059615341257,0.3787170788364745,-2.87005116609334,1.0830527094435254,0.380696316073675,0.380696316073675,0.380696316073675,0.380696316073675
1,test,Marvin Vettori,Robert Whittaker,lose,0.0070431212440949,-1.5293763558291231,-0.4015491970891212,0.0001258851697796,0.5926104093203701,0.2546822941331569,-0.334901764941172,0.5710545358398911,-0.1621870334748361,0.1696646612175872,0.1900052766267968,-0.1540531501973355,1.4881221995019178,-0.1323127728446381,0.5620785980262154,-1.071529169458313,-0.17978347617069504,-0.17978347617069504,-0.17978347617069504,-0.17978347617069504
2,train,Joaquin Buckley,Nassourdine Imavov,lose,0.0070431212440949,-0.1742430847599872,-0.7962954575837721,-1.6945402704032262,0.21908608680653,0.2546822941331568,-0.334901764941172,-2.289104762276269,-0.2823876438332792,-1.776257101773815,0.5990445901719635,-0.6587246722503516,1.4881221995019178,-0.1067612802605825,0.5620785980262154,0.0057617699926063,-0.0396635281096026,-0.0396635281096026,-0.0396635281096026,-0.0396635281096026
3,validation,Alessio Di Chirico,Roman Kopylov,lose,-1.3474497100131326,-0.7388819477054606,-0.0068029365944702,0.0001258851697796,0.6037603890969027,0.2197108234419906,-0.1338681187972911,-0.0009773237833408,-0.0609654668571997,-0.3978958529882382,-0.2312441656809128,0.0982826108291729,-1.776059615341257,1.0175043934378651,-0.0099430293270437,-1.071529169458313,-0.3199034242317875,-0.3199034242317875,-0.3199034242317875,-0.3199034242317875
4,train,Jarno Errens,William Gomis,lose,0.0070431212440949,-0.4377412208012081,-1.191041718078423,0.8474589629562826,-1.6764104752040023,-2.0884062421749823,-2.010182149473515,0.9524091089220458,-0.4911571249821538,-0.6411360733621636,0.4830483669278117,-0.6587246722503516,-1.776059615341257,-0.0045553099243599,-0.0099430293270437,0.0057617699926063,-0.17978347617069504,-0.17978347617069504,-0.17978347617069504,-0.17978347617069504
5,train,Nathaniel Wood,Charles Jourdain,win,0.0070431212440949,0.4280383690485176,1.5721821053841334,0.0001258851697796,0.9382597823928792,1.3387978855593108,0.8377945042314678,0.0943613194871978,0.3312681037861409,-0.0735755591563381,-0.090827684911676,-0.069941229855166,0.0764319370450979,0.5320260343408082,0.5620785980262154,-1.071529169458313,0.14716306930518738,0.14716306930518738,0.14716306930518738,0.14716306930518738
6,test,Abus Magomedov,Dustin Stoltzfus,win,1.3615359525013224,0.2774680055963914,-0.0068029365944702,0.0001258851697796,-0.9851117290589848,-1.2141194748958255,-1.5411036418044588,-0.4776705401360342,12.12990696265437,4.791228848322167,-2.007817900630817,4.556214388964152,-0.0172712135127385,-0.6433426245257506,-0.5819646566803028,0.0057617699926063,0.19386971865888494,0.19386971865888494,0.19386971865888494,0.19386971865888494
7,test,Nasrat Haqparast,John Makdessi,win,1.3615359525013224,-0.3248134482121134,0.7826895843948315,0.0001258851697796,0.1967861272534648,1.0590261200299806,-0.2343849418692313,-0.0009773237833408,-0.2760612959196767,-0.4789759264462134,0.4097875943525578,-0.3222769908816736,1.4881221995019178,-0.1323127728446378,-0.5819646566803028,2.1603436488944445,0.28728301736628,0.28728301736628,0.28728301736628,0.28728301736628
8,train,Michal Figlak,Fares Ziam,lose,0.0070431212440949,-1.1905930380618392,-0.7962954575837721,0.0001258851697796,0.0183864508289441,-0.1649753541608381,-0.4354185880131127,-0.0009773237833408,-0.3962619062781198,-1.2086965875679891,1.3988080241184842,-1.836291557040724,-0.0172712135127385,-1.2821299391271417,-0.0099430293270437,-1.071529169458313,-0.08637017746330006,-0.08637017746330006,-0.08637017746330006,-0.08637017746330006
9,test,Gabriel Miranda,Benoit Saint Denis,lose,-4.056435372527588,-0.8141671294315237,-0.0068029365944702,0.0001258851697796,-0.2882379930257007,0.1147964113684919,-2.847822341739686,-1.0497023997592665,-0.3456511229693019,0.1696646612175872,0.7577762640850136,-0.322276990881674,-1.776059615341257,-1.2821299391271417,-0.5819646566803028,0.0057617699926063,0.0070431212440948965,0.0070431212440948965,0.0070431212440948965,0.0070431212440948965
10,validation,Cristian Quinonez,Khalid Taha,win,0.0070431212440949,0.5033235507745807,-0.0068029365944702,0.0001258851697796,0.4532356621137133,3.5070290684116188,1.306873011900524,-0.1916546103244182,1.6408221219018104,0.7372251754234123,0.2876863067271347,1.359961415961714,-0.0172712135127385,-0.6433426245257506,-0.0099430293270437,-2.148820108909232,0.2405763680125825,0.2405763680125825,0.2405763680125825,0.2405763680125825
11,train,Ailin Perez,Stephanie Egger,lose,0.0070431212440949,0.051612460418202,-0.4015491970891212,-0.8472071926167234,-0.9516617897293872,-0.2349182955431707,0.9048057196127612,-0.7636864699476503,-0.0989235543388132,-0.7222161468201392,-0.1274580711993031,-1.7521796366985547,1.1834540518514318,-1.2821299391271417,-0.0099430293270437,-1.071529169458313,0.14716306930518752,0.14716306930518752,0.14716306930518752,0.14716306930518752
