,set,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif,str_dif,td_dif,sub_dif,result,result_pred
4864,test,-1.4077548504495816,0.3419739966369327,1.708966005847356,0.0034855038500306,2.7036703320781528,0.2769883673208559,-0.0195109089494377,-0.0133656117621719,win,win
4865,train,1.4615106360696024,-0.2465711007515028,-0.5757083435676256,3.232646388910269,-0.0009952404962372,0.1264908190810258,0.3750043154627059,0.835288279006014,win,win
4866,test,-0.1602607381474834,-0.5280491908068411,1.1377974184936106,-1.0729014578367155,-0.0009952404962372,-1.0398651797776577,-0.0195109089494377,-0.0133656117621719,lose,lose
4867,train,1.4615106360696024,0.4699185830257231,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,2.34632965561852,-1.9920870310101568,-0.0133656117621719,win,win
4868,train,-0.1602607381474834,0.2652072448036585,-0.0045397562138802,0.0034855038500306,2.7036703320781528,0.3146127543808135,-0.4140261333615815,-0.0133656117621719,win,win
4869,train,1.4615106360696024,0.11167374113711,2.280134593201101,-1.0729014578367155,-0.0009952404962372,-0.437874986818337,-0.4140261333615815,-0.0133656117621719,lose,lose
4870,train,-0.1602607381474834,-1.1421832054730343,-0.5757083435676256,0.0034855038500306,-1.3533280267834324,-0.3250018256384644,1.5585499886991374,-1.7106733932985438,lose,lose
4871,test,-0.1602607381474834,1.2631750186362227,-0.0045397562138802,0.0034855038500306,1.351337545790958,0.7661053991003038,-0.4140261333615815,-1.7106733932985438,win,win
4872,train,-0.1602607381474834,-0.451282438973567,-0.5757083435676256,2.1562594272235227,-0.0009952404962372,-0.1368798903386768,0.3750043154627059,-0.0133656117621719,lose,lose
4873,test,-0.1602607381474834,-1.73072830286147,-0.0045397562138802,-1.0729014578367155,-0.0009952404962372,-0.1745042773986343,1.9530652131112811,-1.7106733932985438,lose,lose
4874,test,1.4615106360696024,0.0604959065815941,-0.0045397562138802,0.0034855038500306,1.351337545790958,0.7284810120403463,-0.0195109089494377,-0.0133656117621719,win,win
4875,train,-0.1602607381474834,1.2631750186362227,0.5666288311398652,-1.0729014578367155,-0.0009952404962372,0.5779834638005161,0.7695195398748498,-0.8620195025303578,win,win
4876,train,2.207078644758352,0.5722742521367551,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,-1.3784846633172751,-0.0195109089494377,1.6839421697742,win,lose
4877,train,1.4615106360696024,-0.1953932661959866,-0.0045397562138802,0.0034855038500306,-0.0009952404962372,1.8195882367791147,-0.4140261333615815,-0.0133656117621719,win,win
