,w/l,fighter,kd,str,td,sub,weight class,method,round,time,date,w_fighter,l_fighter,w_kd,l_kd,w_str,l_str,w_td,l_td,w_sub,l_sub,w_win_perc,l_win_perc,w_win_strk,l_win_strk,w_lose_strk,l_lose_strk,ttime,w_wins,w_losses,w_draws,w_height,w_weight,w_reach,w_stance,w_age,w_slpm,w_str. acc.,w_sapm,w_str. def,w_td avg.,w_td acc.,w_td def.,w_sub. avg.,l_wins,l_losses,l_draws,l_height,l_weight,l_reach,l_stance,l_age,l_slpm,l_str. acc.,l_sapm,l_str. def,l_td avg.,l_td acc.,l_td def.,l_sub. avg.
778,win,Matheus Nicolau:David Dvorak,1:0,36:39,0:0,0:0,Flyweight,U-DEC:,3,5:00,2022-03-26,Matheus Nicolau,David Dvorak,1,0,36,39,0,0,0,0,0.83,1.0,2,3,0,0,15.0,18.0,3.0,1,167.64,56.25,167.64000000000001,Orthodox,29,3.64,0.52,3.09,0.67,1.46,0.42,0.93,1.0,20.0,4.0,0,165.1,56.25,172.72,Orthodox,30,3.87,0.43,3.0,0.61,0.0,0.0,0.81,0.3
779,win,Luis Saldana:Bruno Souza,0:0,84:66,2:1,0:0,Featherweight,U-DEC:,3,5:00,2022-03-26,Luis Saldana,Bruno Souza,0,0,84,66,2,1,0,0,0.5,0,0,0,1,1,15.0,16.0,7.0,1,180.34,65.25,185.42000000000002,Orthodox,31,5.16,0.5,3.65,0.6,0.64,0.17,0.44,0.2,10.0,3.0,0,177.8,65.25,177.8,Orthodox,26,3.73,0.39,5.3,0.45,0.5,0.16,0.6,0.0
780,win,Benson Henderson:Rustam Khabilov,1:0,26:18,1:6,2:0,Lightweight,SUB:Rear Naked Choke,4,1:16,2014-06-07,Benson Henderson,Rustam Khabilov,1,0,26,18,1,6,2,0,0.89,1.0,1,3,0,0,16.267,24.0,7.0,0,175.26,76.5,177.8,Southpaw,39,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,24.0,4.0,0,172.72,69.75,185.42000000000002,Orthodox,36,1.98,0.34,2.16,0.65,3.95,0.41,0.61,0.1
781,win,Diego Sanchez:Ross Pearson,0:1,33:51,0:1,0:0,Lightweight,S-DEC:,3,5:00,2014-06-07,Diego Sanchez,Ross Pearson,0,1,33,51,0,1,0,0,0.65,0.7,0,2,2,0,15.0,31.0,1.0,-0,177.8,76.5,182.88,Southpaw,41,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8,20.0,1.0,-0,172.72,69.75,175.26,Orthodox,38,3.68,0.4,4.09,0.62,0.74,0.35,0.75,0.0
782,win,John Dodson:John Moraga,1:0,27:8,1:0,0:0,Flyweight,KO/TKO:,2,5:00,2014-06-07,John Dodson,John Moraga,1,0,27,8,1,0,0,0,0.8,0.75,1,1,0,0,10.0,22.0,1.0,-0,160.02,60.75,167.64000000000001,Orthodox,38,3.2,0.4,3.58,0.61,0.71,0.28,0.82,0.0,19.0,7.0,0,167.64,56.25,167.64000000000001,Orthodox,38,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1
783,win,Rafael Dos Anjos:Jason High,1:0,36:24,2:3,3:0,Lightweight,KO/TKO:Punch,2,3:36,2014-06-07,Rafael Dos Anjos,Jason High,1,0,36,24,2,3,3,0,0.64,0.5,0,2,1,0,8.6,31.0,1.0,-0,172.72,69.75,177.8,Southpaw,38,3.58,0.46,3.23,0.61,1.96,0.34,0.59,0.5,21.0,6.0,0,172.72,69.75,185.42000000000002,Southpaw,41,1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8
784,win,Piotr Hallmann:Yves Edwards,0:0,56:27,4:1,1:0,Lightweight,SUB:Rear Naked Choke,3,2:31,2014-06-07,Piotr Hallmann,Yves Edwards,0,0,56,27,4,1,1,0,0.5,0.56,0,0,1,2,12.517,18.0,6.0,0,175.26,69.75,180.34,Orthodox,35,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,42.0,2.0,-1,175.26,69.75,185.42000000000002,Southpaw,46,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7
785,win,Bryan Caraway:Erik Perez,0:0,7:10,2:1,2:0,Bantamweight,SUB:Rear Naked Choke,2,1:52,2014-06-07,Bryan Caraway,Erik Perez,0,0,7,10,2,1,2,0,0.75,0.8,1,1,0,0,6.867,21.0,9.0,0,172.72,60.75,172.72,Orthodox,38,2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8,17.0,6.0,0,172.72,60.75,172.72,Orthodox,33,3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2
786,win,Sergio Pettis:Yaotzin Meza,0:0,54:43,0:1,0:0,Bantamweight,U-DEC:,3,5:00,2014-06-07,Sergio Pettis,Yaotzin Meza,0,0,54,43,0,1,0,0,0.5,0.5,0,1,1,0,15.0,18.0,5.0,0,167.64,56.25,175.26,Orthodox,29,3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4,21.0,1.0,-0,175.26,65.25,180.34,Orthodox,41,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4
787,win,Lance Benoist:Bobby Voelker,0:0,56:37,2:0,0:0,Welterweight,U-DEC:,3,5:00,2014-06-07,Lance Benoist,Bobby Voelker,0,0,56,37,2,0,0,0,0.33,0,0,0,2,3,15.0,7.0,0.0,-0,180.34,76.5,182.88,Southpaw,34,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,19.0,1.0,-0,182.88,76.5,187.96,Orthodox,43,4.01,0.35,5.84,0.42,1.04,0.5,0.66,0.0
788,win,Scott Jorgensen:Danny Martinez,0:1,40:47,10:0,0:0,Flyweight,U-DEC:,3,5:00,2014-06-07,Scott Jorgensen,Danny Martinez,0,1,40,47,10,0,0,0,0.38,0,0,0,3,1,15.0,15.0,1.0,-0,165.1,60.75,167.64000000000001,Orthodox,40,3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,21.0,8.0,0,167.64,56.25,170.18,Orthodox,37,2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0
789,win,Jon Tuck:Jake Lindsey,0:0,46:49,3:0,0:0,Lightweight,KO/TKO:Kick,3,2:47,2014-06-07,Jon Tuck,Jake Lindsey,0,0,46,49,3,0,0,0,0.5,0,0,0,1,0,12.783,10.0,5.0,0,180.34,69.75,185.42000000000002,Orthodox,38,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0,12.0,7.0,0,180.34,69.75,184.77,Switch,36,3.44,0.52,4.01,0.46,0.65,0.33,0.5,0.0
790,win,Patrick Cummins:Roger Narvaez,0:0,32:3,3:0,1:0,Light Heavyweight,KO/TKO:Punches,2,2:28,2014-06-07,Patrick Cummins,Roger Narvaez,0,0,32,3,3,0,1,0,0,0,0,0,1,0,7.467,10.0,7.0,0,187.96,92.25,193.04,Orthodox,42,4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1,8.0,0.0,-0,190.5,83.25,195.18,Southpaw,39,2.12,0.37,3.32,0.64,0.0,0.0,0.5,0.9
791,win,Jake Ellenberger:Jake Shields,1:0,9:1,0:0,0:0,Welterweight,KO/TKO:Knee,1,0:53,2011-09-17,Jake Ellenberger,Jake Shields,1,0,9,1,0,0,0,0,0.8,0.5,4,0,0,1,0.883,31.0,1.0,-0,175.26,76.5,180.34,Orthodox,37,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,31.0,9.0,1,182.88,76.5,182.88,Orthodox,43,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2
792,win,Court McGee:Dongi Yang,0:1,62:50,2:1,1:0,Middleweight,U-DEC:,3,5:00,2011-09-17,Court McGee,Dongi Yang,0,1,62,50,2,1,1,0,1.0,0.5,2,1,0,0,15.0,22.0,1.0,-0,180.34,76.5,190.5,Orthodox,38,4.68,0.37,3.69,0.6,1.86,0.25,0.69,0.5,13.0,3.0,0,177.8,83.25,185.42000000000002,Southpaw,38,3.55,0.51,3.21,0.63,1.7,0.41,0.61,0.5
793,win,Erik Koch:Jonathan Brookins,0:0,40:23,0:1,0:0,Featherweight,U-DEC:,3,5:00,2011-09-17,Erik Koch,Jonathan Brookins,0,0,40,23,0,1,0,0,1.0,1.0,1,1,0,0,15.0,16.0,6.0,0,177.8,76.5,180.34,Southpaw,34,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0,16.0,1.0,-0,182.88,65.25,187.96,Southpaw,37,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3
794,win,Alan Belcher:Jason MacDonald,0:0,25:2,0:0,0:0,Middleweight,KO/TKO:Punches,1,3:48,2011-09-17,Alan Belcher,Jason MacDonald,0,0,25,2,0,0,0,0,0.64,0.5,2,1,0,0,3.8,18.0,8.0,0,187.96,83.25,190.5,Orthodox,38,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,25.0,1.0,-0,190.5,83.25,203.2,Orthodox,47,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0
795,win,Vagner Rocha:Cody McKenzie,0:0,18:15,2:0,4:1,Lightweight,SUB:Rear Naked Choke,2,3:49,2011-09-17,Vagner Rocha,Cody McKenzie,0,0,18,15,2,0,4,1,0,0.5,0,0,1,1,8.817,14.0,4.0,0,177.8,69.75,185.42000000000002,Orthodox,40,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9,16.0,1.0,-0,182.88,69.75,182.88,Switch,35,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5
796,win,Evan Dunham:Shamar Bailey,0:0,92:35,0:0,1:0,Lightweight,U-DEC:,3,5:00,2011-09-17,Evan Dunham,Shamar Bailey,0,0,92,35,0,0,1,0,0.67,1.0,0,1,2,0,15.0,18.0,9.0,1,177.8,69.75,177.8,Southpaw,41,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,16.0,1.0,-0,175.26,69.75,190.5,Southpaw,40,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0
797,win,Lance Benoist:Matthew Riddle,0:0,39:26,1:4,0:0,Welterweight,U-DEC:,3,5:00,2011-09-17,Lance Benoist,Matthew Riddle,0,0,39,26,1,4,0,0,0,0.71,0,0,0,1,15.0,7.0,0.0,-0,180.34,76.5,182.88,Southpaw,34,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0,8.0,0.0,-0,185.42,76.5,193.04,Southpaw,36,3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5
798,win,Ken Stone:Donny Walker,0:0,7:1,2:0,1:0,Bantamweight,SUB:Rear Naked Choke,1,2:40,2011-09-17,Ken Stone,Donny Walker,0,0,7,1,2,0,1,0,0,0,0,0,1,1,2.667,11.0,4.0,0,172.72,60.75,180.34,Southpaw,40,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,15.0,1.0,-0,175.26,60.75,179.56,Orthodox,42,1.81,0.37,3.85,0.46,0.0,0.0,0.57,1.7
799,win,Seth Baczynski:Clay Harvison,1:0,41:12,0:0,1:0,Welterweight,SUB:Rear Naked Choke,2,1:12,2011-09-17,Seth Baczynski,Clay Harvison,1,0,41,12,0,0,1,0,0,1.0,0,1,1,0,6.2,20.0,1.0,-0,190.5,76.5,190.5,Orthodox,41,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,13.0,6.0,0,185.42,76.5,187.96,Orthodox,42,3.29,0.48,3.91,0.58,0.66,1.0,0.68,1.3
800,win,TJ Waldburger:Mike Stumpf,0:0,4:0,3:0,2:1,Welterweight,SUB:Triangle Choke,1,3:52,2011-09-17,TJ Waldburger,Mike Stumpf,0,0,4,0,3,0,2,1,0.5,0,0,0,1,0,3.867,16.0,9.0,0,180.34,76.5,190.5,Orthodox,34,2.02,0.51,2.39,0.4,3.03,0.46,0.4,4.8,11.0,4.0,0,177.8,76.5,182.16,Orthodox,36,3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8
801,win,Robert Peralta:Mike Lullo,0:0,80:51,1:2,0:0,Featherweight,U-DEC:,3,5:00,2011-09-17,Robert Peralta,Mike Lullo,0,0,80,51,1,2,0,0,0,0,0,0,0,1,15.0,18.0,8.0,0,172.72,65.25,180.34,Orthodox,36,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0,8.0,0.0,-0,172.72,65.25,176.96,Orthodox,43,2.48,0.36,4.84,0.4,1.18,0.11,0.0,0.6
802,win,Justin Edwards:Jorge Lopez,0:0,41:42,2:3,2:0,Welterweight,U-DEC:,3,5:00,2011-09-17,Justin Edwards,Jorge Lopez,0,0,41,42,2,3,2,0,0,0,0,0,1,0,15.0,9.0,0.0,-0,177.8,69.75,177.8,Orthodox,39,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0,11.0,5.0,0,177.8,76.5,182.16,Orthodox,34,2.47,0.59,2.57,0.5,3.5,0.41,0.81,0.0
803,win,Daniel Cormier:Derrick Lewis,0:0,19:4,4:0,1:0,Heavyweight,SUB:Rear Naked Choke,2,2:14,2018-11-03,Daniel Cormier,Derrick Lewis,0,0,19,4,4,0,1,0,0.91,0.8,6,3,0,0,7.233,22.0,3.0,0,180.34,105.75,182.88,Orthodox,43,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,26.0,1.0,-0,190.5,117.0,200.66,Orthodox,37,2.57,0.5,2.57,0.41,0.6,0.28,0.55,0.0
804,win,Jacare Souza:Chris Weidman,1:0,74:68,0:1,0:0,Middleweight,KO/TKO:Punches,3,2:46,2018-11-03,Jacare Souza,Chris Weidman,1,0,74,68,0,1,0,0,0.73,0.77,0,1,1,0,12.767,26.0,1.0,-0,185.42,83.25,182.88,Orthodox,43,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3,15.0,6.0,0,187.96,83.25,198.12,Orthodox,38,3.03,0.43,3.14,0.52,3.92,0.47,0.65,0.9
805,win,Jared Cannonier:David Branch,1:0,26:10,0:3,0:0,Middleweight,KO/TKO:Punches,2,0:39,2018-11-03,Jared Cannonier,David Branch,1,0,26,10,0,3,0,0,0.43,0.57,0,1,2,0,5.65,15.0,6.0,0,180.34,83.25,195.58,Switch,38,3.73,0.51,3.5,0.61,0.19,0.25,0.65,0.0,22.0,6.0,0,185.42,83.25,198.12,Orthodox,41,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0
806,win,Karl Roberson:Jack Marshman,0:0,34:21,2:0,0:0,Middleweight,U-DEC:,3,5:00,2018-11-03,Karl Roberson,Jack Marshman,0,0,34,21,2,0,0,0,0.5,0.5,0,0,1,1,15.0,9.0,0.0,-0,185.42,92.25,187.96,Southpaw,32,2.57,0.51,2.42,0.57,0.72,0.4,0.42,0.5,23.0,1.0,-0,182.88,83.25,185.42000000000002,Orthodox,33,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0
807,win,Israel Adesanya:Derek Brunson,3:0,13:3,0:0,0:0,Middleweight,KO/TKO:Punches,1,4:51,2018-11-03,Israel Adesanya,Derek Brunson,3,0,13,3,0,0,0,0,1.0,0.69,3,0,0,1,4.85,23.0,1.0,0,193.04,83.25,203.2,Switch,33,3.93,0.49,2.67,0.59,0.0,0.0,0.78,0.2,23.0,8.0,0,185.42,83.25,195.58,Southpaw,38,3.5,0.47,2.84,0.52,3.23,0.33,0.89,0.6
808,win,Jordan Rinaldi:Jason Knight,0:0,20:12,3:0,2:0,Featherweight,U-DEC:,3,5:00,2018-11-03,Jordan Rinaldi,Jason Knight,0,0,20,12,3,0,2,0,0.33,0.5,0,0,1,3,15.0,14.0,7.0,0,177.8,65.25,182.88,Orthodox,35,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2,20.0,5.0,0,177.8,65.25,180.34,Orthodox,30,2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7
809,win,Sijara Eubanks:Roxanne Modafferi,1:0,57:28,3:1,0:0,Women's Flyweight,U-DEC:,3,5:00,2018-11-03,Sijara Eubanks,Roxanne Modafferi,1,0,57,28,3,1,0,0,1.0,0.33,1,1,0,0,15.0,8.0,0.0,-0,162.56,56.25,170.18,Orthodox,37,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3,25.0,2.0,-0,170.18,56.25,175.26,Orthodox,40,3.35,0.3,5.7,0.51,1.35,0.23,0.3,0.1
810,win,Sheymon Moraes:Julio Arce,2:0,32:25,0:1,0:2,Featherweight,S-DEC:,3,5:00,2018-11-03,Sheymon Moraes,Julio Arce,2,0,32,25,0,1,0,2,0.5,1.0,1,2,0,0,15.0,11.0,4.0,0,172.72,65.25,182.88,Orthodox,32,3.0,0.42,3.64,0.63,0.0,0.0,0.53,0.0,18.0,5.0,0,170.18,60.75,177.8,Southpaw,33,4.74,0.37,3.08,0.69,0.42,0.27,0.94,0.4
811,win,Lyman Good:Ben Saunders,1:0,14:12,0:0,0:0,Welterweight,KO/TKO:Punches,1,1:32,2018-11-03,Lyman Good,Ben Saunders,1,0,14,12,0,0,0,0,0.5,0.56,0,0,1,1,1.533,21.0,6.0,0,182.88,76.5,187.96,Orthodox,37,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,22.0,1.0,-2,187.96,76.5,195.58,Orthodox,39,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3
812,win,Shane Burgos:Kurt Holobaugh,0:1,17:21,0:0,1:0,Featherweight,SUB:Armbar,1,2:11,2018-11-03,Shane Burgos,Kurt Holobaugh,0,1,17,21,0,0,1,0,0.75,0,0,0,1,2,2.183,15.0,3.0,0,180.34,65.25,190.5,Orthodox,31,7.4,0.52,6.78,0.56,0.43,0.44,0.91,0.4,17.0,7.0,0,180.34,69.75,177.8,Orthodox,36,4.51,0.42,4.28,0.46,0.97,0.36,0.45,0.7
813,win,Marcos Rogerio de Lima:Adam Wieczorek,0:0,28:7,3:1,0:0,Heavyweight,U-DEC:,3,5:00,2018-11-03,Marcos Rogerio de Lima,Adam Wieczorek,0,0,28,7,3,1,0,0,0.57,1.0,0,2,1,0,15.0,20.0,9.0,1,185.42,113.85000000000001,190.5,Orthodox,37,3.57,0.54,2.41,0.53,1.09,0.5,0.57,0.6,10.0,2.0,0,195.58,112.5,205.74,Orthodox,30,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4
814,win,Randy Couture:Pedro Rizzo,0:1,69:42,3:0,0:0,Heavyweight,U-DEC:,5,5:00,2001-05-04,Randy Couture,Pedro Rizzo,0,1,69,42,3,0,0,0,1.0,0.86,5,2,0,0,25.0,19.0,1.0,-0,185.42,92.25,190.5,Orthodox,59,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,20.0,1.0,-0,185.42,108.45,189.97,Orthodox,48,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0
815,win,Carlos Newton:Pat Miletich,0:0,14:28,4:0,1:0,Welterweight,SUB:Bulldog Choke,3,2:50,2001-05-04,Carlos Newton,Pat Miletich,0,0,14,28,4,0,1,0,0.5,1.0,1,7,0,0,12.833,16.0,1.0,-0,175.26,76.5,179.56,Orthodox,46,0.65,0.41,1.55,0.44,2.47,0.7,0.43,0.9,29.0,7.0,2,177.8,76.5,182.16,Orthodox,54,1.79,0.45,1.66,0.63,1.96,1.0,0.54,1.0
816,win,Chuck Liddell:Kevin Randleman,1:0,3:0,0:0,0:0,Light Heavyweight,KO/TKO:Punch,1,1:18,2001-05-04,Chuck Liddell,Kevin Randleman,1,0,3,0,0,0,0,0,0.75,0.6,2,0,0,1,1.3,21.0,8.0,0,187.96,92.25,193.04,Orthodox,53,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0,17.0,1.0,-0,177.8,92.25,182.16,Orthodox,51,1.26,0.54,1.12,0.57,2.0,0.56,0.3,0.8
817,win,Shonie Carter:Matt Serra,2:0,18:10,2:2,0:3,Welterweight,KO/TKO:Spinning Back Fist,3,4:51,2001-05-04,Shonie Carter,Matt Serra,2,0,18,10,2,2,0,3,1.0,0,2,0,0,0,14.85,51.0,3.0,-7,177.8,76.5,182.16,Southpaw,50,1.62,0.36,2.32,0.47,0.75,0.66,0.75,0.0,11.0,7.0,0,167.64,76.5,172.72,Orthodox,48,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
818,win,Semmy Schilt:Pete Williams,2:0,15:6,0:1,0:0,Heavyweight,KO/TKO:Punch,2,1:28,2001-05-04,Semmy Schilt,Pete Williams,2,0,15,6,0,1,0,0,0,0.6,0,0,0,1,6.467,26.0,1.0,-1,208.28,119.25,213.39,Orthodox,49,1.2,0.5,1.31,0.53,0.0,0.0,0.47,1.1,12.0,6.0,0,190.5,105.75,195.18,Orthodox,47,0.61,0.62,2.77,0.4,1.84,0.4,0.16,0.9
819,win,Matt Lindland:Ricardo Almeida,0:0,22:9,5:0,0:0,Light Heavyweight,DQ:,3,4:21,2001-05-04,Matt Lindland,Ricardo Almeida,0,0,22,9,5,0,0,0,1.0,0,1,0,0,0,14.35,22.0,9.0,0,182.88,83.25,187.96,Southpaw,52,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,13.0,5.0,0,182.88,76.5,187.96,Orthodox,46,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
820,win,BJ Penn:Joey Gilbert,0:0,22:3,2:0,0:0,Lightweight,KO/TKO:Punches,1,4:57,2001-05-04,BJ Penn,Joey Gilbert,0,0,22,3,2,0,0,0,0,0,0,0,0,0,4.95,16.0,1.0,-2,175.26,69.75,177.8,Orthodox,44,2.76,0.48,3.2,0.56,1.19,0.55,0.74,0.5,2.0,0.0,-0,180.34,69.75,184.77,Orthodox,46,0.61,0.42,4.44,0.31,0.0,0.0,0.0,0.0
821,win,Tony DeSouza:Steve Berger,0:0,28:2,5:0,0:3,Welterweight,U-DEC:,3,5:00,2001-05-04,Tony DeSouza,Steve Berger,0,0,28,2,5,0,0,3,0,0,0,0,0,0,15.0,11.0,4.0,0,182.88,76.5,177.8,Southpaw,48,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,21.0,2.0,-2,180.34,76.5,184.77,Orthodox,49,1.0,0.27,3.26,0.36,0.84,0.4,0.16,1.7
822,win,Tyron Woodley:Stephen Thompson,1:0,54:53,1:0,0:0,Welterweight,M-DEC:,5,5:00,2017-03-04,Tyron Woodley,Stephen Thompson,1,0,54,53,1,0,0,0,0.75,0.89,3,7,0,0,25.0,19.0,7.0,1,175.26,76.5,187.96,Orthodox,40,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4,16.0,6.0,1,182.88,76.5,190.5,Orthodox,39,3.9,0.43,2.81,0.56,0.29,0.41,0.63,0.0
823,win,David Teymur:Lando Vannata,0:0,90:76,2:1,0:0,Lightweight,U-DEC:,3,5:00,2017-03-04,David Teymur,Lando Vannata,0,0,90,76,2,1,0,0,1.0,0.5,2,1,0,0,15.0,8.0,0.0,-0,175.26,69.75,185.42000000000002,Southpaw,33,4.69,0.43,3.53,0.55,0.94,0.33,0.77,0.0,12.0,6.0,2,175.26,65.25,180.34,Orthodox,30,4.64,0.44,4.71,0.53,1.21,0.42,0.68,0.3
824,win,Daniel Kelly:Rashad Evans,0:0,74:53,0:1,0:0,Middleweight,S-DEC:,3,5:00,2017-03-04,Daniel Kelly,Rashad Evans,0,0,74,53,0,1,0,0,0.83,0.74,3,0,0,2,15.0,13.0,4.0,0,182.88,83.25,177.8,Southpaw,45,3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3,19.0,8.0,1,182.88,92.25,190.5,Orthodox,43,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
825,win,Cynthia Calvillo:Amanda Cooper,0:0,13:7,1:0,3:0,Women's Strawweight,SUB:Rear Naked Choke,1,3:19,2017-03-04,Cynthia Calvillo,Amanda Cooper,0,0,13,7,1,0,3,0,0,0.5,0,1,0,0,3.317,9.0,0.0,-1,162.56,56.25,162.56,Orthodox,35,4.16,0.39,3.95,0.65,1.88,0.44,0.75,0.9,3.0,0.0,-0,160.02,51.75,162.56,Switch,31,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
826,win,Alistair Overeem:Mark Hunt,1:0,55:21,0:0,0:0,Heavyweight,KO/TKO:Knees,3,1:44,2017-03-04,Alistair Overeem,Mark Hunt,1,0,55,21,0,0,0,0,0.6,0.64,0,2,1,0,11.733,47.0,1.0,-0,193.04,119.25,203.2,Orthodox,42,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,13.0,1.0,-1,177.8,119.25,182.88,Orthodox,48,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2
827,win,Marcin Tybura:Luis Henrique,0:0,50:14,1:3,0:1,Heavyweight,KO/TKO:Punches,3,3:46,2017-03-04,Marcin Tybura,Luis Henrique,0,0,50,14,1,3,0,1,0.5,0.67,1,2,0,0,13.767,23.0,7.0,0,190.5,112.05,198.12,Orthodox,37,3.61,0.49,3.38,0.54,1.42,0.32,0.79,0.1,10.0,5.0,0,187.96,109.35000000000001,187.96,Orthodox,29,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
828,win,Darren Elkins:Mirsad Bektic,1:0,28:60,0:4,1:0,Featherweight,KO/TKO:Kick,3,3:19,2017-03-04,Darren Elkins,Mirsad Bektic,1,0,28,60,0,4,1,0,0.73,1.0,3,4,0,0,13.317,28.0,1.0,-0,177.8,65.25,180.34,Orthodox,38,3.52,0.38,3.16,0.51,2.76,0.33,0.56,1.1,13.0,4.0,0,172.72,65.25,177.8,Orthodox,31,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4
829,win,Iuri Alcantara:Luke Sanders,0:0,23:94,1:1,1:0,Bantamweight,SUB:Kneebar,2,3:13,2017-03-04,Iuri Alcantara,Luke Sanders,0,0,23,94,1,1,1,0,0.67,1.0,1,1,0,0,8.217,35.0,1.0,-0,175.26,60.75,180.34,Southpaw,42,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,13.0,5.0,0,167.64,60.75,170.18,Southpaw,37,6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2
830,win,Mark Godbeer:Daniel Spitz,0:0,92:51,0:1,0:0,Heavyweight,U-DEC:,3,5:00,2017-03-04,Mark Godbeer,Daniel Spitz,0,0,92,51,0,1,0,0,0,0,0,0,1,0,15.0,13.0,4.0,0,193.04,108.0,195.58,Orthodox,39,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,6.0,0.0,-0,200.66,110.25,208.28,Orthodox,32,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0
831,win,Tyson Pedro:Paul Craig,1:0,23:12,0:0,0:0,Light Heavyweight,KO/TKO:Elbows,1,4:10,2017-03-04,Tyson Pedro,Paul Craig,1,0,23,12,0,0,0,0,1.0,1.0,1,1,0,0,4.167,9.0,0.0,-0,190.5,92.25,200.66,Orthodox,31,2.95,0.64,2.35,0.51,0.64,0.25,0.52,1.3,16.0,5.0,1,190.5,92.25,193.04,Orthodox,35,2.47,0.46,2.79,0.47,1.85,0.2,0.5,1.7
832,win,Albert Morales:Andre Soukhamthath,0:0,56:46,1:0,0:0,Bantamweight,S-DEC:,3,5:00,2017-03-04,Albert Morales,Andre Soukhamthath,0,0,56,46,1,0,0,0,0,0,0,0,1,0,15.0,7.0,0.0,-1,175.26,60.75,182.88,Orthodox,31,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2,13.0,8.0,0,175.26,60.75,177.8,Orthodox,34,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2
833,win,Tedd Williams:Steve Judson,1:0,9:14,0:0,0:0,Heavyweight,KO/TKO:Punch,1,3:23,2000-03-10,Tedd Williams,Steve Judson,1,0,9,14,0,0,0,0,0,0,0,0,0,1,3.383,7.0,0.0,-0,185.42,123.75,189.97,Orthodox,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0,180.34,103.5,184.77,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
