,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,date
683,win,Volkan Oezdemir:Misha Cirkunov,1:0,5:9,0:0,0:0,Light Heavyweight,KO/TKO:Punch,1,0:28,"May 28, 2017"
684,win,Peter Sobotta:Ben Saunders,3:0,46:19,0:0,0:0,Welterweight,KO/TKO:Knee,2,2:29,"May 28, 2017"
685,win,Omari Akhmedov:Abdul Razak Alhassan,0:0,52:43,6:0,0:0,Welterweight,S-DEC:,3,5:00,"May 28, 2017"
686,win,Nordine Taleb:Oliver Enkamp,0:0,57:34,2:1,0:0,Welterweight,U-DEC:,3,5:00,"May 28, 2017"
687,win,Jack Hermansson:Alex Nicholson,0:0,23:1,1:0,0:1,Middleweight,KO/TKO:Punches,1,2:00,"May 28, 2017"
688,win,Pedro Munhoz:Damian Stasiak,0:0,65:44,3:2,1:0,Bantamweight,U-DEC:,3,5:00,"May 28, 2017"
689,win,Trevor Smith:Chris Camozzi,1:0,39:10,4:0,0:1,Middleweight,U-DEC:,3,5:00,"May 28, 2017"
690,win,Joaquim Silva:Reza Madadi,0:0,40:26,0:5,1:0,Lightweight,S-DEC:,3,5:00,"May 28, 2017"
691,win,Bojan Velickovic:Nicholas Musoke,1:0,53:49,1:1,0:0,Welterweight,KO/TKO:Punch,3,4:37,"May 28, 2017"
692,win,Darren Till:Jessin Ayari,1:0,31:28,2:0,0:1,Welterweight,U-DEC:,3,5:00,"May 28, 2017"
693,win,Damir Hadzovic:Marcin Held,1:0,14:31,0:4,0:1,Lightweight,KO/TKO:Knee,3,0:07,"May 28, 2017"
694,win,Tom Aspinall:Alexander Volkov,0:0,29:13,2:0,1:0,Heavyweight,SUB:Straight Armbar,1,3:45,"March 19, 2022"
695,win,Arnold Allen:Dan Hooker,0:0,49:14,0:0,0:0,Featherweight,KO/TKO:Punches,1,2:33,"March 19, 2022"
696,win,Paddy Pimblett:Kazula Vargas,0:0,3:7,1:0,1:0,Lightweight,SUB:Rear Naked Choke,1,3:49,"March 19, 2022"
697,win,Gunnar Nelson:Takashi Sato,0:0,44:9,3:0,1:0,Welterweight,U-DEC:,3,5:00,"March 19, 2022"
698,win,Molly McCann:Luana Carolina,1:0,85:64,2:0,0:0,Women's Flyweight,KO/TKO:Spinning Back Elbow,3,1:52,"March 19, 2022"
699,win,Ilia Topuria:Jai Herbert,1:1,20:22,1:0,0:0,Lightweight,KO/TKO:Punch,2,1:07,"March 19, 2022"
700,win,Makwan Amirkhani:Mike Grundy,0:0,0:0,0:1,1:0,Featherweight,SUB:Anaconda Choke,1,0:57,"March 19, 2022"
701,win,Sergei Pavlovich:Shamil Abdurakhimov,1:0,21:17,0:0,0:0,Heavyweight,KO/TKO:Punches,1,4:03,"March 19, 2022"
702,win,Paul Craig:Nikita Krylov,0:0,2:19,1:1,1:0,Light Heavyweight,SUB:Triangle Choke,1,3:57,"March 19, 2022"
703,win,Jack Shore:Timur Valiev,2:0,70:72,3:2,0:1,Bantamweight,U-DEC:,3,5:00,"March 19, 2022"
704,win,Elise Reed:Cory McKenna,0:0,76:60,0:3,0:0,Women's Strawweight,S-DEC:,3,5:00,"March 19, 2022"
705,win,Muhammad Mokaev:Cody Durden,1:0,2:1,0:1,1:0,Flyweight,SUB:Guillotine Choke,1,0:58,"March 19, 2022"
706,win,Rashad Evans:Michael Bisping,0:0,23:40,6:2,0:0,Light Heavyweight,S-DEC:,3,5:00,"November 17, 2007"
707,win,Thiago Silva:Houston Alexander,0:0,22:2,1:1,0:0,Light Heavyweight,KO/TKO:Punches,1,3:25,"November 17, 2007"
708,win,Karo Parisyan:Ryo Chonan,0:0,49:35,7:0,0:0,Welterweight,U-DEC:,3,5:00,"November 17, 2007"
709,win,Ed Herman:Joe Doerksen,1:0,43:9,2:1,0:3,Middleweight,KO/TKO:Punch,3,0:39,"November 17, 2007"
710,win,Frankie Edgar:Spencer Fisher,0:0,42:6,8:0,0:0,Lightweight,U-DEC:,3,5:00,"November 17, 2007"
711,win,Thiago Alves:Chris Lytle,1:0,39:42,0:1,0:0,Welterweight,KO/TKO:,2,5:00,"November 17, 2007"
712,win,Joe Lauzon:Jason Reinhardt,0:0,5:1,1:0,1:0,Lightweight,SUB:Rear Naked Choke,1,1:14,"November 17, 2007"
713,win,Marcus Aurelio:Luke Caudillo,0:0,20:6,1:0,0:0,Lightweight,KO/TKO:Punches,1,4:29,"November 17, 2007"
714,win,Akihiro Gono:Tamdan McCrory,1:0,27:31,1:0,1:0,Welterweight,SUB:Armbar,2,3:19,"November 17, 2007"
715,win,Kenny Florian:Sam Stout,0:0,5:0,1:0,1:0,Lightweight,SUB:Rear Naked Choke,1,1:46,"June 24, 2006"
716,win,Michael Bisping:Josh Haynes,2:0,41:8,4:0,4:0,Light Heavyweight,KO/TKO:Punches,2,4:14,"June 24, 2006"
717,win,Kendall Grove:Ed Herman,0:0,25:33,0:5,6:2,Middleweight,U-DEC:,3,5:00,"June 24, 2006"
718,win,Keith Jardine:Wilson Gouveia,0:0,67:48,1:1,0:0,Light Heavyweight,U-DEC:,3,5:00,"June 24, 2006"
719,win,Rory Singer:Ross Pointon,0:1,2:4,0:0,1:0,Middleweight,SUB:Triangle Choke,1,0:44,"June 24, 2006"
720,win,Kalib Starnes:Danny Abbadi,0:0,21:3,1:0,1:0,Middleweight,SUB:Rear Naked Choke,1,2:56,"June 24, 2006"
721,win,Luigi Fioravanti:Solomon Hutcherson,1:0,11:11,1:1,0:0,Middleweight,KO/TKO:Punch,1,4:15,"June 24, 2006"
722,win,Matt Hamill:Jesse Forbes,0:0,33:9,1:0,0:0,Light Heavyweight,KO/TKO:Elbows,1,4:47,"June 24, 2006"
723,win,Mike Nickels:Wes Combs,0:0,22:4,3:0,1:0,Light Heavyweight,SUB:Rear Naked Choke,1,3:10,"June 24, 2006"
724,win,Matt Hughes:Carlos Newton,0:0,58:3,4:0,1:1,Welterweight,KO/TKO:Punches,4,3:37,"July 13, 2002"
725,win,Ian Freeman:Frank Mir,0:0,34:6,0:1,0:3,Heavyweight,KO/TKO:,1,4:35,"July 13, 2002"
726,win,Mark Weir:Eugene Jackson,1:0,4:0,0:0,0:0,Middleweight,KO/TKO:Punch,1,0:10,"July 13, 2002"
727,win,Genki Sudo:Leigh Remedios,0:0,9:5,2:0,3:0,Lightweight,SUB:Rear Naked Choke,2,1:38,"July 13, 2002"
728,win,Phillip Miller:James Zikic,0:0,30:29,4:0,0:1,Light Heavyweight,U-DEC:,3,5:00,"July 13, 2002"
729,win,Renato Sobral:Elvis Sinosic,0:0,42:7,4:0,0:0,Light Heavyweight,U-DEC:,3,5:00,"July 13, 2002"
730,win,Evan Tanner:Chris Haseman,0:0,70:14,3:0,0:2,Light Heavyweight,U-DEC:,3,5:00,"July 13, 2002"
731,win,Cynthia Calvillo:Jessica Eye,0:0,113:70,4:0,0:0,Women's Flyweight,U-DEC:,5,5:00,"June 13, 2020"
732,win,Marvin Vettori:Karl Roberson,0:0,45:4,2:0,2:0,Middleweight,SUB:Rear Naked Choke,1,4:17,"June 13, 2020"
733,win,Charles Rosa:Kevin Aguilar,0:0,69:53,0:0,0:0,Lightweight,S-DEC:,3,5:00,"June 13, 2020"
734,win,Andre Fili:Charles Jourdain,0:1,44:62,5:0,0:0,Featherweight,S-DEC:,3,5:00,"June 13, 2020"
735,win,Jordan Espinosa:Mark De La Rosa,0:0,126:37,2:0,0:0,Bantamweight,U-DEC:,3,5:00,"June 13, 2020"
736,win,Mariya Agapova:Hannah Cifers,1:0,29:11,0:0,1:0,Women's Flyweight,SUB:Rear Naked Choke,1,2:42,"June 13, 2020"
737,win,Merab Dvalishvili:Gustavo Lopez,0:0,73:14,13:0,2:0,Catch Weight,U-DEC:,3,5:00,"June 13, 2020"
738,win,Julia Avila:Gina Mazany,0:0,11:2,0:0,0:0,Women's Bantamweight,KO/TKO:Punches,1,0:22,"June 13, 2020"
739,win,Tyson Nam:Zarrukh Adashev,1:0,2:2,0:0,0:0,Bantamweight,KO/TKO:Punch,1,0:32,"June 13, 2020"
740,win,Christian Aguilera:Anthony Ivy,0:0,10:4,0:0,0:0,Welterweight,KO/TKO:Punches,1,0:59,"June 13, 2020"
741,win,Khabib Nurmagomedov:Conor McGregor,0:0,70:51,3:0,1:0,Lightweight,SUB:Neck Crank,4,3:03,"October 06, 2018"
742,win,Tony Ferguson:Anthony Pettis,0:1,114:45,0:0,0:0,Lightweight,KO/TKO:,2,5:00,"October 06, 2018"
743,win,Dominick Reyes:Ovince Saint Preux,1:0,94:38,0:1,0:0,Light Heavyweight,U-DEC:,3,5:00,"October 06, 2018"
744,win,Derrick Lewis:Alexander Volkov,1:0,39:121,0:1,0:0,Heavyweight,KO/TKO:Punches,3,4:49,"October 06, 2018"
745,win,Michelle Waterson-Gomez:Felice Herrig,0:0,76:51,0:1,0:0,Women's Strawweight,U-DEC:,3,5:00,"October 06, 2018"
746,win,Jussier Formiga:Sergio Pettis,0:0,18:30,2:0,0:0,Flyweight,U-DEC:,3,5:00,"October 06, 2018"
747,win,Vicente Luque:Jalin Turner,1:0,41:31,0:0,0:0,Welterweight,KO/TKO:Punches,1,3:52,"October 06, 2018"
748,win,Aspen Ladd:Tonya Evinger,0:0,50:9,0:0,0:0,Women's Bantamweight,KO/TKO:Punches,1,3:26,"October 06, 2018"
749,win,Scott Holtzman:Alan Patrick,1:0,73:25,1:0,0:0,Lightweight,KO/TKO:Elbows,3,3:42,"October 06, 2018"
750,win,Yana Kunitskaya:Lina Lansberg,0:0,72:43,5:0,1:1,Women's Bantamweight,U-DEC:,3,5:00,"October 06, 2018"
751,win,Nik Lentz:Gray Maynard,1:0,75:13,2:0,1:0,Lightweight,KO/TKO:Kick,2,1:19,"October 06, 2018"
752,win,Anthony Rocco Martin:Ryan LaFlare,2:0,36:35,0:0,1:0,Welterweight,KO/TKO:Kick,3,1:00,"October 06, 2018"
753,win,Michael Bisping:Jason Miller,0:0,102:27,0:1,0:0,Middleweight,KO/TKO:Knees,3,3:34,"December 03, 2011"
754,win,Diego Brandao:Dennis Bermudez,1:1,19:25,1:1,1:0,Featherweight,SUB:Armbar,1,4:51,"December 03, 2011"
755,win,John Dodson:TJ Dillashaw,1:0,7:2,0:0,0:0,Bantamweight,KO/TKO:Punches,1,1:54,"December 03, 2011"
756,win,Tony Ferguson:Yves Edwards,0:0,61:45,1:0,1:0,Lightweight,U-DEC:,3,5:00,"December 03, 2011"
757,win,Johnny Bedford:Louis Gaudinot,1:0,82:6,4:0,0:0,Bantamweight,KO/TKO:Knees,3,1:58,"December 03, 2011"
758,win,Marcus Brimage:Stephen Bass,0:0,88:73,1:0,0:0,Featherweight,U-DEC:,3,5:00,"December 03, 2011"
759,win,John Albert:Dustin Pague,1:0,21:3,0:0,0:0,Bantamweight,KO/TKO:Punches,1,1:09,"December 03, 2011"
760,win,Roland Delorme:Josh Ferguson,1:0,36:34,2:0,2:0,Bantamweight,SUB:Rear Naked Choke,3,0:22,"December 03, 2011"
761,win,Steven Siler:Josh Clopton,0:0,72:43,0:4,2:0,Featherweight,U-DEC:,3,5:00,"December 03, 2011"
762,win,Bryan Caraway:Dustin Neace,0:0,23:18,3:0,1:1,Featherweight,SUB:Rear Naked Choke,2,3:38,"December 03, 2011"
763,win,Magomed Ankalaev:Thiago Santos,0:1,78:60,1:0,0:0,Light Heavyweight,U-DEC:,5,5:00,"March 12, 2022"
764,win,Song Yadong:Marlon Moraes,1:0,14:9,0:0,0:0,Bantamweight,KO/TKO:Punch,1,2:06,"March 12, 2022"
765,win,Sodiq Yusuff:Alex Caceres,0:0,64:66,1:1,0:0,Featherweight,U-DEC:,3,5:00,"March 12, 2022"
766,win,Khalil Rountree Jr.:Karl Roberson,2:0,26:17,0:0,0:0,Light Heavyweight,KO/TKO:Punch,2,0:25,"March 12, 2022"
767,win,Drew Dober:Terrance McKinney,1:1,17:36,0:2,0:0,Lightweight,KO/TKO:Punches,1,3:17,"March 12, 2022"
768,win,Alex Pereira:Bruno Silva,0:0,108:59,0:2,0:0,Middleweight,U-DEC:,3,5:00,"March 12, 2022"
769,win,Matthew Semelsberger:AJ Fletcher,0:0,40:34,1:4,0:2,Welterweight,U-DEC:,3,5:00,"March 12, 2022"
770,win,JJ Aldrich:Gillian Robertson,0:0,60:52,0:1,0:0,Women's Flyweight,U-DEC:,3,5:00,"March 12, 2022"
771,win,Javid Basharat:Trevin Jones,0:0,89:62,0:0,0:0,Bantamweight,U-DEC:,3,5:00,"March 12, 2022"
772,win,Damon Jackson:Kamuela Kirk,0:0,32:22,2:0,1:0,Featherweight,SUB:Arm Triangle,2,4:42,"March 12, 2022"
773,win,Miranda Maverick:Sabina Mazo,0:0,19:15,4:0,1:0,Women's Flyweight,SUB:Rear Naked Choke,2,2:15,"March 12, 2022"
774,win,Cody Brundage:Dalcha Lungiambula,0:0,4:29,1:1,1:0,Middleweight,SUB:Guillotine Choke,1,3:41,"March 12, 2022"
775,win,Guido Cannetti:Kris Moutinho,0:0,28:11,0:0,0:0,Bantamweight,KO/TKO:Punches,1,2:07,"March 12, 2022"
776,win,Azamat Murzakanov:Tafon Nchukwi,1:0,28:43,1:0,0:0,Light Heavyweight,KO/TKO:Knee,3,0:44,"March 12, 2022"
777,win,Curtis Blaydes:Chris Daukaus,1:0,30:13,0:0,0:0,Heavyweight,KO/TKO:Punch,2,0:17,"March 26, 2022"
778,win,Alexa Grasso:Joanne Wood,0:0,16:34,2:0,1:0,Women's Flyweight,SUB:Rear Naked Choke,1,3:57,"March 26, 2022"
779,win,Bryan Barberena:Matt Brown,0:0,111:81,0:5,0:0,Welterweight,S-DEC:,3,5:00,"March 26, 2022"
780,win,Kai Kara-France:Askar Askarov,0:0,51:27,0:2,0:2,Flyweight,U-DEC:,3,5:00,"March 26, 2022"
781,win,Neil Magny:Max Griffin,0:1,54:67,1:0,0:0,Welterweight,S-DEC:,3,5:00,"March 26, 2022"
782,win,Marc Diakiese:Viacheslav Borshchev,0:0,17:12,11:0,0:0,Lightweight,U-DEC:,3,5:00,"March 26, 2022"
783,win,Sara McMann:Karol Rosa,0:0,24:26,4:1,0:0,Women's Bantamweight,U-DEC:,3,5:00,"March 26, 2022"
784,win,Chris Gutierrez:Batgerel Danaa,1:0,41:30,0:1,0:0,Bantamweight,KO/TKO:Spinning Back Fist,2,2:34,"March 26, 2022"
785,win,Aliaskhab Khizriev:Denis Tiuliulin,0:0,42:31,2:0,1:0,Middleweight,SUB:Rear Naked Choke,2,1:58,"March 26, 2022"
786,win,Manon Fiorot:Jennifer Maia,0:0,83:37,2:1,0:0,Women's Flyweight,U-DEC:,3,5:00,"March 26, 2022"
787,win,Matheus Nicolau:David Dvorak,1:0,36:39,0:0,0:0,Flyweight,U-DEC:,3,5:00,"March 26, 2022"
788,win,Luis Saldana:Bruno Souza,0:0,84:66,2:1,0:0,Featherweight,U-DEC:,3,5:00,"March 26, 2022"
789,win,Benson Henderson:Rustam Khabilov,1:0,26:18,1:6,2:0,Lightweight,SUB:Rear Naked Choke,4,1:16,"June 07, 2014"
790,win,Diego Sanchez:Ross Pearson,0:1,33:51,0:1,0:0,Lightweight,S-DEC:,3,5:00,"June 07, 2014"
791,win,John Dodson:John Moraga,1:0,27:8,1:0,0:0,Flyweight,KO/TKO:,2,5:00,"June 07, 2014"
792,win,Rafael Dos Anjos:Jason High,1:0,36:24,2:3,3:0,Lightweight,KO/TKO:Punch,2,3:36,"June 07, 2014"
793,win,Piotr Hallmann:Yves Edwards,0:0,56:27,4:1,1:0,Lightweight,SUB:Rear Naked Choke,3,2:31,"June 07, 2014"
794,win,Bryan Caraway:Erik Perez,0:0,7:10,2:1,2:0,Bantamweight,SUB:Rear Naked Choke,2,1:52,"June 07, 2014"
795,win,Sergio Pettis:Yaotzin Meza,0:0,54:43,0:1,0:0,Bantamweight,U-DEC:,3,5:00,"June 07, 2014"
796,win,Lance Benoist:Bobby Voelker,0:0,56:37,2:0,0:0,Welterweight,U-DEC:,3,5:00,"June 07, 2014"
797,win,Scott Jorgensen:Danny Martinez,0:1,40:47,10:0,0:0,Flyweight,U-DEC:,3,5:00,"June 07, 2014"
798,win,Jon Tuck:Jake Lindsey,0:0,46:49,3:0,0:0,Lightweight,KO/TKO:Kick,3,2:47,"June 07, 2014"
799,win,Patrick Cummins:Roger Narvaez,0:0,32:3,3:0,1:0,Light Heavyweight,KO/TKO:Punches,2,2:28,"June 07, 2014"
800,win,Jake Ellenberger:Jake Shields,1:0,9:1,0:0,0:0,Welterweight,KO/TKO:Knee,1,0:53,"September 17, 2011"
801,win,Court McGee:Dongi Yang,0:1,62:50,2:1,1:0,Middleweight,U-DEC:,3,5:00,"September 17, 2011"
802,win,Erik Koch:Jonathan Brookins,0:0,40:23,0:1,0:0,Featherweight,U-DEC:,3,5:00,"September 17, 2011"
803,win,Alan Belcher:Jason MacDonald,0:0,25:2,0:0,0:0,Middleweight,KO/TKO:Punches,1,3:48,"September 17, 2011"
804,win,Vagner Rocha:Cody McKenzie,0:0,18:15,2:0,4:1,Lightweight,SUB:Rear Naked Choke,2,3:49,"September 17, 2011"
805,win,Evan Dunham:Shamar Bailey,0:0,92:35,0:0,1:0,Lightweight,U-DEC:,3,5:00,"September 17, 2011"
806,win,Lance Benoist:Matthew Riddle,0:0,39:26,1:4,0:0,Welterweight,U-DEC:,3,5:00,"September 17, 2011"
807,win,Ken Stone:Donny Walker,0:0,7:1,2:0,1:0,Bantamweight,SUB:Rear Naked Choke,1,2:40,"September 17, 2011"
808,win,Seth Baczynski:Clay Harvison,1:0,41:12,0:0,1:0,Welterweight,SUB:Rear Naked Choke,2,1:12,"September 17, 2011"
809,win,TJ Waldburger:Mike Stumpf,0:0,4:0,3:0,2:1,Welterweight,SUB:Triangle Choke,1,3:52,"September 17, 2011"
810,win,Robert Peralta:Mike Lullo,0:0,80:51,1:2,0:0,Featherweight,U-DEC:,3,5:00,"September 17, 2011"
811,win,Justin Edwards:Jorge Lopez,0:0,41:42,2:3,2:0,Welterweight,U-DEC:,3,5:00,"September 17, 2011"
812,win,Daniel Cormier:Derrick Lewis,0:0,19:4,4:0,1:0,Heavyweight,SUB:Rear Naked Choke,2,2:14,"November 03, 2018"
813,win,Jacare Souza:Chris Weidman,1:0,74:68,0:1,0:0,Middleweight,KO/TKO:Punches,3,2:46,"November 03, 2018"
814,win,Jared Cannonier:David Branch,1:0,26:10,0:3,0:0,Middleweight,KO/TKO:Punches,2,0:39,"November 03, 2018"
815,win,Karl Roberson:Jack Marshman,0:0,34:21,2:0,0:0,Middleweight,U-DEC:,3,5:00,"November 03, 2018"
816,win,Israel Adesanya:Derek Brunson,3:0,13:3,0:0,0:0,Middleweight,KO/TKO:Punches,1,4:51,"November 03, 2018"
817,win,Jordan Rinaldi:Jason Knight,0:0,20:12,3:0,2:0,Featherweight,U-DEC:,3,5:00,"November 03, 2018"
818,win,Sijara Eubanks:Roxanne Modafferi,1:0,57:28,3:1,0:0,Women's Flyweight,U-DEC:,3,5:00,"November 03, 2018"
819,win,Sheymon Moraes:Julio Arce,2:0,32:25,0:1,0:2,Featherweight,S-DEC:,3,5:00,"November 03, 2018"
820,win,Lyman Good:Ben Saunders,1:0,14:12,0:0,0:0,Welterweight,KO/TKO:Punches,1,1:32,"November 03, 2018"
821,draw:draw,Matt Frevola:Lando Vannata,0:2,66:67,2:1,1:1,Lightweight,M-DEC:,3,5:00,"November 03, 2018"
822,win,Shane Burgos:Kurt Holobaugh,0:1,17:21,0:0,1:0,Featherweight,SUB:Armbar,1,2:11,"November 03, 2018"
823,win,Marcos Rogerio de Lima:Adam Wieczorek,0:0,28:7,3:1,0:0,Heavyweight,U-DEC:,3,5:00,"November 03, 2018"
824,win,Randy Couture:Pedro Rizzo,0:1,69:42,3:0,0:0,Heavyweight,U-DEC:,5,5:00,"May 04, 2001"
825,win,Carlos Newton:Pat Miletich,0:0,14:28,4:0,1:0,Welterweight,SUB:Bulldog Choke,3,2:50,"May 04, 2001"
826,win,Chuck Liddell:Kevin Randleman,1:0,3:0,0:0,0:0,Light Heavyweight,KO/TKO:Punch,1,1:18,"May 04, 2001"
827,win,Shonie Carter:Matt Serra,2:0,18:10,2:2,0:3,Welterweight,KO/TKO:Spinning Back Fist,3,4:51,"May 04, 2001"
828,win,Semmy Schilt:Pete Williams,2:0,15:6,0:1,0:0,Heavyweight,KO/TKO:Punch,2,1:28,"May 04, 2001"
829,win,Matt Lindland:Ricardo Almeida,0:0,22:9,5:0,0:0,Light Heavyweight,DQ:,3,4:21,"May 04, 2001"
830,win,BJ Penn:Joey Gilbert,0:0,22:3,2:0,0:0,Lightweight,KO/TKO:Punches,1,4:57,"May 04, 2001"
831,win,Tony DeSouza:Steve Berger,0:0,28:2,5:0,0:3,Welterweight,U-DEC:,3,5:00,"May 04, 2001"
832,win,Tyron Woodley:Stephen Thompson,1:0,54:53,1:0,0:0,Welterweight,M-DEC:,5,5:00,"March 04, 2017"
833,win,David Teymur:Lando Vannata,0:0,90:76,2:1,0:0,Lightweight,U-DEC:,3,5:00,"March 04, 2017"
834,win,Daniel Kelly:Rashad Evans,0:0,74:53,0:1,0:0,Middleweight,S-DEC:,3,5:00,"March 04, 2017"
835,win,Cynthia Calvillo:Amanda Cooper,0:0,13:7,1:0,3:0,Women's Strawweight,SUB:Rear Naked Choke,1,3:19,"March 04, 2017"
836,win,Alistair Overeem:Mark Hunt,1:0,55:21,0:0,0:0,Heavyweight,KO/TKO:Knees,3,1:44,"March 04, 2017"
837,win,Marcin Tybura:Luis Henrique,0:0,50:14,1:3,0:1,Heavyweight,KO/TKO:Punches,3,3:46,"March 04, 2017"
838,win,Darren Elkins:Mirsad Bektic,1:0,28:60,0:4,1:0,Featherweight,KO/TKO:Kick,3,3:19,"March 04, 2017"
839,win,Iuri Alcantara:Luke Sanders,0:0,23:94,1:1,1:0,Bantamweight,SUB:Kneebar,2,3:13,"March 04, 2017"
840,win,Mark Godbeer:Daniel Spitz,0:0,92:51,0:1,0:0,Heavyweight,U-DEC:,3,5:00,"March 04, 2017"
841,win,Tyson Pedro:Paul Craig,1:0,23:12,0:0,0:0,Light Heavyweight,KO/TKO:Elbows,1,4:10,"March 04, 2017"
842,win,Albert Morales:Andre Soukhamthath,0:0,56:46,1:0,0:0,Bantamweight,S-DEC:,3,5:00,"March 04, 2017"
843,win,Tedd Williams:Steve Judson,1:0,9:14,0:0,0:0,Heavyweight,KO/TKO:Punch,1,3:23,"March 10, 2000"
844,win,Lance Gibson:Jermaine Andre,1:1,33:27,2:0,1:0,Middleweight,KO/TKO:Knee,3,3:35,"March 10, 2000"
845,win,Dave Menne:Fabiano Iha,0:0,37:8,0:1,1:0,Lightweight,U-DEC:,3,5:00,"March 10, 2000"
846,win,Bob Cook:Tiki Ghosn,0:0,22:24,1:0,2:0,Lightweight,SUB:Rear Naked Choke,2,1:29,"March 10, 2000"
847,win,Jens Pulver:David Velasquez,0:0,54:20,3:0,2:0,Lightweight,KO/TKO:Punches,2,2:41,"March 10, 2000"
848,win,Scott Adams:Ian Freeman,0:0,0:0,1:0,4:1,Heavyweight,SUB:Heel Hook,1,3:09,"March 10, 2000"
849,win,Shonie Carter:Brad Gumm,0:0,22:12,5:0,0:1,Lightweight,U-DEC:,2,5:00,"March 10, 2000"
850,win,Frankie Edgar:Chad Mendes,1:0,13:5,0:0,0:0,Featherweight,KO/TKO:Punch,1,2:28,"December 11, 2015"
851,win,Ryan Hall:Artem Lobov,0:0,23:2,1:0,1:0,Lightweight,U-DEC:,3,5:00,"December 11, 2015"
852,win,Tony Ferguson:Edson Barboza,0:0,61:41,0:2,1:0,Lightweight,SUB:D'Arce Choke,2,2:54,"December 11, 2015"
853,win,Evan Dunham:Joe Lauzon,0:0,127:42,1:0,0:0,Lightweight,U-DEC:,3,5:00,"December 11, 2015"
854,win,Tatsuya Kawajiri:Jason Knight,0:0,28:28,6:0,0:1,Featherweight,U-DEC:,3,5:00,"December 11, 2015"
855,win,Julian Erosa:Marcin Wrzosek,0:0,61:52,2:3,2:0,Lightweight,S-DEC:,3,5:00,"December 11, 2015"
856,win,Gabriel Gonzaga:Konstantin Erokhin,0:0,20:15,2:0,0:0,Heavyweight,U-DEC:,3,5:00,"December 11, 2015"
857,win,Ryan LaFlare:Mike Pierce,0:0,65:42,0:0,0:0,Welterweight,U-DEC:,3,5:00,"December 11, 2015"
858,win,Geane Herrera:Joby Sanchez,1:0,40:55,1:0,0:0,Flyweight,KO/TKO:Punch,2,4:28,"December 11, 2015"
859,win,Chris Gruetzemacher:Abner Lloveras,0:0,103:94,0:2,0:0,Lightweight,U-DEC:,3,5:00,"December 11, 2015"
860,win,Diego Sanchez:Joe Riggs,2:0,6:3,0:0,0:0,Welterweight,KO/TKO:Flying Knee,1,1:45,"December 13, 2006"
861,win,Josh Koscheck:Jeff Joslin,0:0,14:18,6:0,1:1,Welterweight,U-DEC:,3,5:00,"December 13, 2006"
862,win,Karo Parisyan:Drew Fickett,0:0,56:47,3:1,0:0,Welterweight,U-DEC:,3,5:00,"December 13, 2006"
863,win,Marcus Davis:Shonie Carter,1:0,54:27,1:0,2:0,Welterweight,U-DEC:,3,5:00,"December 13, 2006"
864,win,David Heath:Victor Valimaki,0:0,44:66,0:1,0:0,Light Heavyweight,S-DEC:,3,5:00,"December 13, 2006"
865,win,Alan Belcher:Jorge Santiago,1:0,29:14,1:0,2:3,Middleweight,KO/TKO:Kick,3,2:45,"December 13, 2006"
866,win,Luigi Fioravanti:Dave Menne,1:0,23:8,1:0,0:2,Welterweight,KO/TKO:Punches,1,4:44,"December 13, 2006"
867,win,Brock Larson:Keita Nakamura,0:0,22:16,5:0,0:1,Welterweight,U-DEC:,3,5:00,"December 13, 2006"
868,win,Logan Clark:Steve Byrnes,0:0,40:18,0:3,2:4,Middleweight,U-DEC:,3,5:00,"December 13, 2006"
869,win,Alexander Gustafsson:Thiago Silva,1:0,76:38,1:0,0:0,Light Heavyweight,U-DEC:,3,5:00,"April 14, 2012"
870,win,Brian Stann:Alessio Sakara,1:0,18:7,0:0,0:0,Middleweight,KO/TKO:Punch,1,2:26,"April 14, 2012"
871,win,Siyar Bahadurzada:Paulo Thiago,1:0,3:0,0:0,0:0,Welterweight,KO/TKO:Punch,1,0:42,"April 14, 2012"
872,win,Dennis Siver:Diego Nunes,0:0,68:49,0:0,0:0,Featherweight,U-DEC:,3,5:00,"April 14, 2012"
873,win,John Maguire:DaMarques Johnson,0:0,6:15,3:0,1:1,Welterweight,SUB:Armbar,2,4:40,"April 14, 2012"
874,win,Brad Pickett:Damacio Page,1:0,36:23,4:1,1:1,Bantamweight,SUB:Rear Naked Choke,2,4:05,"April 14, 2012"
875,win,James Head:Papy Abedi,0:0,21:11,0:1,1:0,Welterweight,SUB:Rear Naked Choke,1,4:33,"April 14, 2012"
876,win,Cyrille Diabate:Tom DeBlass,0:0,48:1,2:2,0:1,Light Heavyweight,M-DEC:,3,5:00,"April 14, 2012"
877,win,Francis Carmont:Magnus Cedenblad,0:0,28:11,2:0,1:1,Middleweight,SUB:Rear Naked Choke,2,1:42,"April 14, 2012"
878,win,Reza Madadi:Yoislandy Izquierdo,0:0,1:36,3:0,1:0,Lightweight,SUB:Guillotine Choke,2,1:28,"April 14, 2012"
879,win,Simeon Thoresen:Besam Yousef,0:0,37:28,1:0,3:0,Welterweight,SUB:Rear Naked Choke,2,2:36,"April 14, 2012"
880,win,Jason Young:Eric Wisely,0:0,44:36,4:0,0:0,Featherweight,U-DEC:,3,5:00,"April 14, 2012"
881,win,Carla Esparza:Rose Namajunas,0:0,42:28,5:1,1:0,Women's Strawweight,SUB:Rear Naked Choke,3,1:26,"December 12, 2014"
