set,date,fighter,opponent,result,method,kd_dif,str_dif,td_dif,sub_dif,td avg._dif,td acc._dif,td def._dif,sub. avg._dif,slpm_dif,str. acc._dif,sapm_dif,str. def_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
test,2022-09-03,Tai Tuivasa,Ciryl Gane,lose,KO/TKO:Punches,-0.0089201372868341,-3.061300826743554,-0.0182134665218074,0.0083374769443095,-0.3449146754358672,-0.7356579417973512,-0.1079188292512646,-0.4709790632618485,-0.6575525444124949,-0.8086089986507236,1.358823701000296,-1.448853547031502,1.6718216268151618,-0.3784075337433429,2.8406528465293976,-1.0622861915084392,0.34073579949037985,0.34073579949037985,0.34073579949037985,0.34073579949037985
test,2022-09-03,Robert Whittaker,Marvin Vettori,win,U-DEC:,-0.0089201372868341,1.5092906889726487,0.3766429235652503,0.0083374769443095,-0.5951052897707572,-0.2436996217528821,0.3299163734011216,-0.5667711773616567,0.1527238810737811,-0.1581786736369375,-0.1909887421086294,0.1532582536561162,-1.2813047241179445,0.1329853692841328,-0.5894273035809827,1.0890638683406508,0.622417875545286,0.622417875545286,0.622417875545286,0.622417875545286
train,2022-09-03,Joaquin Buckley,Nassourdine Imavov,lose,U-DEC:,-0.0089201372868341,-0.2140470956416573,-0.8079262466959231,-1.6912634201509107,0.3055809218348468,0.2833985782947631,-0.2089577221710458,-1.6204844324595482,-0.3058046387750417,-1.5403431142912334,-0.1664857785812156,-0.3526717886662891,1.6718216268151618,-0.0971414370782313,0.5539327464558107,0.0133888384161057,-0.008099084901334807,-0.008099084901334807,-0.008099084901334807,-0.008099084901334807
train,2022-09-03,Alessio Di Chirico,Roman Kopylov,lose,KO/TKO:Punches,-1.36260052688218,-0.7760050688854527,-0.0182134665218074,0.0083374769443095,0.4668148732951093,-0.3842591417655875,-0.2089577221710462,0.0079815072371929,-0.7894580090265395,-0.8899127892774469,-0.3135035597456985,0.0689365799357151,-1.2813047241179445,1.027922949582215,-0.017747278562586,-1.0622861915084392,-0.46189475434205396,-0.46189475434205396,-0.46189475434205396,-0.46189475434205396
train,2022-09-03,Jarno Errens,William Gomis,lose,U-DEC:,-0.0089201372868341,-0.4762941498220951,-1.2027826367829808,0.8581379254919198,-1.6681450356959522,-2.1061132619212293,-2.027657794727112,0.965902648235276,-0.5256470797984496,-0.6460014173972772,0.4950942366589581,-0.6899584835478932,-1.2813047241179445,0.0051371435272638,-0.017747278562586,0.0133888384161057,-0.06550342477924367,-0.06550342477924367,-0.06550342477924367,-0.06550342477924367
train,2022-09-03,Nathaniel Wood,Charles Jourdain,win,U-DEC:,-0.0089201372868341,0.3853747424850577,1.5612120938264236,0.0083374769443095,0.9393971448165684,1.337594978390054,0.835110838000029,0.1037736213370012,0.2909105582884946,-0.0768748830102142,-0.0807254062352668,-0.0997067675050869,0.129628116480974,0.542099691706113,0.5539327464558107,-1.0622861915084392,-0.0183289694916658,-0.0183289694916658,-0.0183289694916658,-0.0183289694916658
test,2022-09-03,Abus Magomedov,Dustin Stoltzfus,win,KO/TKO:Punches,1.3447602523085116,0.235519282953379,-0.0182134665218074,0.0083374769443095,-0.9787308984175886,-1.22761626184182,-1.5561429611014654,-0.4709790632618485,12.00537205853581,4.801352554593184,-2.004208043137253,4.537985287116967,-0.0544807060184743,-0.6341039852570807,-0.5894273035809827,0.0133888384161057,0.6594726135263675,0.6594726135263675,0.6594726135263675,0.6594726135263675
train,2022-09-03,John Makdessi,Nasrat Haqparast,lose,U-DEC:,-1.36260052688218,0.3104470127192184,-0.8079262466959231,0.0083374769443095,-0.2003600982645974,-1.0519168618259382,0.22887748048134,0.0079815072371929,0.2657857078858193,0.4922516513768488,-0.4115154138553537,0.3219016010969173,-1.2813047241179445,0.1329853692841325,0.5539327464558107,-2.137961221432984,-0.19472204421722514,-0.19472204421722514,-0.19472204421722514,-0.19472204421722514
validation,2022-09-03,Michal Figlak,Fares Ziam,lose,U-DEC:,-0.0089201372868341,-1.225571447480489,-0.8079262466959231,0.0083374769443095,0.0220315589219715,-0.1734198617465294,-0.4447151389838694,0.0079815072371929,-0.4314288907884176,-1.2151279517843403,1.413955368936977,-1.8704619156335072,-0.0544807060184743,-1.273345114041425,-0.017747278562586,-1.0622861915084392,-0.27160522212732474,-0.27160522212732474,-0.27160522212732474,-0.27160522212732474
train,2022-09-03,Gabriel Miranda,Benoit Saint Denis,lose,KO/TKO:Punch,-4.069961306072872,-0.8509327986512921,-0.0182134665218074,0.0083374769443095,-0.2837569697095606,0.1076991782788815,-2.8696485690586244,-1.0457317478606984,-0.3811791899830674,0.1670364888699558,0.7707525763423639,-0.3526717886662895,-1.2813047241179445,-1.273345114041425,-0.5894273035809827,0.0133888384161057,-2.3605643300971244,-2.3605643300971244,-2.3605643300971244,-2.3605643300971244
test,2022-09-03,Khalid Taha,Cristian Quinonez,lose,KO/TKO:Punches,-0.0089201372868341,-0.5137580147050149,-0.0182134665218074,0.0083374769443095,-0.4561105040291516,-3.511708462048284,-1.320385544288642,0.1995657354368095,-1.6374217101168276,-0.7273052080240001,-0.2890005962182843,-1.364531873311101,-0.0544807060184743,0.6443782723116084,-0.017747278562586,2.164738898265196,-0.2040555149134447,-0.2040555149134447,-0.2040555149134447,-0.2040555149134447
