,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
9736,Khabib Nurmagomedov,29,0.0,0,177.8,69.75,177.8,Orthodox,34,4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8
9737,Yusaku Nakamura,14,4.0,1,165.1,65.25,169.15,Orthodox,36,1.72,0.45,3.67,0.55,0.0,0.0,0.83,0.0
9738,Shayilan Nuerdanbieke,39,1.0,-0,172.72,65.25,175.26,Orthodox,28,2.17,0.44,2.93,0.48,2.93,0.32,0.4,0.0
9739,Josh Neal,5,0.0,1-0,182.88,83.25,187.37,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9740,Kevin Natividad,9,0.0,-0,167.64,65.25,177.8,Orthodox,29,2.63,0.24,4.02,0.54,0.0,0.0,1.0,0.0
9741,Rafael Natal,21,9.0,1,182.88,83.25,195.58,Orthodox,40,3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5
9742,Said Nurmagomedov,16,2.0,0,172.72,60.75,177.8,Orthodox,30,4.15,0.46,2.2,0.61,0.61,0.1,0.7,0.3
9743,Mario Neto,13,5.0,0,182.88,103.05,187.37,Orthodox,37.31,1.89,0.5,1.89,0.7,2.84,1.0,0.0,0.0
9744,Steve Nelmark,2,0.0,-0,182.88,108.0,187.37,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9745,Pawel Nastula,5,0.0,-0,182.88,103.5,187.37,Southpaw,52,1.3,0.43,1.73,0.5,3.0,0.6,0.0,1.5
9746,Julio Cesar Neves Jr.,33,1.0,0,172.72,65.25,176.96,Orthodox,28,1.98,0.35,4.81,0.51,1.06,0.25,0.76,0.0
9747,Matheus Nicolau,18,3.0,1,167.64,56.25,167.64000000000001,Orthodox,29,3.64,0.52,3.09,0.67,1.46,0.42,0.93,1.0
9748,Stanislav Nedkov,12,2.0,0,180.34,92.25,180.34,Orthodox,41,3.33,0.43,5.39,0.43,2.77,0.41,0.0,0.0
9749,Eduardo Neves,5,0.0,-0,187.96,119.25,198.12,Orthodox,22,8.21,0.69,3.59,0.46,15.38,1.0,0.0,0.0
9750,Derrick Noble,27,1.0,-1,175.26,76.5,179.56,Southpaw,44,6.21,0.4,3.79,0.59,0.0,0.0,0.0,0.0
9751,Ramsey Nijem,9,0.0,-0,180.34,69.75,190.5,Orthodox,34,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1
9752,Allan Nascimento,19,6.0,0,172.72,56.25,175.26,Orthodox,31,3.31,0.61,2.38,0.5,1.0,0.2,0.16,0.7
9753,Alex Nicholson,7,0.0,-0,193.04,83.25,195.58,Orthodox,32,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5
9754,Umar Nurmagomedov,15,0.0,0,172.72,60.75,175.26,Orthodox,26,4.35,0.7,0.37,0.85,5.02,0.45,0.0,1.1
9755,Guangyou Ning,5,0.0,-1,162.56,65.25,162.56,Southpaw,41,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3
9756,Shane Nelson,16,7.0,0,175.26,69.75,177.8,Southpaw,38,1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6
9757,Fabio Nascimento,11,6.0,0,177.8,83.25,182.16,Orthodox,37.31,2.94,0.38,4.63,0.55,0.0,0.0,0.55,0.8
9758,Kyle Nelson,13,5.0,0,180.34,69.75,180.34,Switch,31,3.34,0.46,5.39,0.47,0.65,0.1,0.63,1.3
9759,Mike Nickels,9,0.0,-0,193.04,92.25,197.78,Orthodox,51,4.44,0.52,1.11,0.64,11.11,0.8,0.0,2.8
9760,Greg Nagy,1,0.0,-0,185.42,94.5,189.97,Orthodox,39,0.41,0.5,2.69,0.37,0.0,0.0,0.0,1.2
9761,Bo Nickal,3,0.0,-0,185.42,83.25,193.04,Southpaw,26,3.68,0.7,0.0,1.0,23.68,1.0,0.0,23.7
9762,Roger Narvaez,8,0.0,-0,190.5,83.25,195.18,Southpaw,39,2.12,0.37,3.32,0.64,0.0,0.0,0.5,0.9
9763,Diego Nunes,19,7.0,0,167.64,65.25,170.18,Orthodox,40,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6
9764,Jaimelene Nievera,7,0.0,-0,165.1,56.25,169.15,Orthodox,38,1.67,0.53,8.73,0.33,1.79,0.16,0.0,0.0
9765,Roy Nelson,22,1.0,-0,182.88,118.35000000000001,185.42000000000002,Orthodox,46,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1
9766,Jason Novelli,11,3.0,1,182.88,69.75,187.37,Orthodox,43,1.73,0.24,3.55,0.66,0.7,0.33,1.0,0.0
9767,Rose Namajunas,12,5.0,0,165.1,51.75,165.1,Orthodox,30,3.66,0.4,3.5,0.6,1.61,0.57,0.6,0.6
9768,Logan Nail,1,0.0,-0,178.31,83.25,182.69,Orthodox,33,1.93,0.51,2.27,0.39,0.0,0.0,0.37,0.0
9769,Hans Nijman,9,0.0,-0,182.88,112.5,187.37,Switch,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9770,Kyle Noblitt,11,2.0,0,187.96,109.35000000000001,192.57,Orthodox,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9771,Alexandre Franca Nogueira,18,6.0,3,170.18,65.25,174.36,Orthodox,44,0.6,0.2,4.18,0.57,0.0,0.0,0.0,0.0
9772,Khomkrit Niimi,6,0.0,0-0,157.48,56.25,161.35,Orthodox,37.31,0.0,0.0,5.73,0.44,0.0,0.0,0.0,0.0
9773,Marcio Navarro,14,1.0,-0,182.88,69.75,187.37,Orthodox,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9774,Jack Nilson,2,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9775,Joe Neal,6,0.0,-0,167.64,60.75,171.75,Orthodox,36,1.87,0.19,3.8,0.66,0.0,0.0,0.0,0.0
9776,Yosuke Nishijima,0,0.0,-0,175.26,92.25,179.56,Orthodox,49,1.72,0.37,5.59,0.56,0.0,0.0,0.0,0.0
