,name,wins,losses,draws,height,weight,reach,stance,age,slpm,str. acc.,sapm,str. def,td avg.,td acc.,td def.,sub. avg.
0,Dylan Andrews,18,7.0,0,185.42,83.25,187.96,Switch,43,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
1,Rafael Alves,20,1.0,-0,172.72,69.75,172.72,Orthodox,32,2.46,0.5,4.14,0.58,0.41,0.25,0.6,1.2
2,Rayanne Amanda,11,6.0,0,157.48,51.75,157.48,Orthodox,27,3.67,0.31,6.87,0.57,1.0,0.25,0.0,0.0
3,Anthony Avila,13,5.0,0,170.18,65.25,174.36,Orthodox,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Arnold Allen,19,1.0,0,172.72,65.25,177.8,Southpaw,28,3.4,0.42,2.25,0.67,1.35,0.5,0.76,0.4
5,Marcus Aurelio,22,1.0,-0,177.8,69.75,187.96,Orthodox,49,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
6,Collin Anglin,8,0.0,-0,175.26,65.25,180.34,Orthodox,29,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0
7,Houston Alexander,17,1.0,-1,182.88,92.25,182.88,Orthodox,50,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
8,Ricardo Arona,14,5.0,0,180.34,92.25,184.77,Orthodox,44,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2
9,Luiz Azeredo,15,1.0,-0,175.26,69.3,179.56,Orthodox,46,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3
10,Scott Askham,14,4.0,0,190.5,83.25,190.5,Southpaw,34,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
11,Ben Askren,19,2.0,0,180.34,76.5,185.42000000000002,Orthodox,38,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
12,Josh Appelt,15,7.0,0,177.8,114.75,182.16,Southpaw,39,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0
13,Sam Adkins,7,0.0,0-2,190.5,101.25,195.18,Orthodox,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Irina Alekseeva,4,0.0,-0,172.72,60.75,176.96,Orthodox,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Lucas Alexander,7,0.0,-0,180.34,65.25,185.42000000000002,Orthodox,27,0.49,0.5,1.97,0.5,0.0,0.0,0.0,0.0
16,Julio Arce,18,5.0,0,170.18,60.75,177.8,Southpaw,33,4.74,0.37,3.08,0.69,0.42,0.27,0.94,0.4
17,Israel Adesanya,23,1.0,0,193.04,83.25,203.2,Switch,33,3.93,0.49,2.67,0.59,0.0,0.0,0.78,0.2
18,Alex Andrade,10,5.0,0,180.34,90.0,184.77,Orthodox,48,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8
19,Danny Abbadi,4,0.0,-0,180.34,69.75,184.77,Orthodox,39,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0
20,Omari Akhmedov,21,6.0,1,182.88,83.25,185.42000000000002,Orthodox,35,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2
21,Tatsuya Ando,13,3.0,1,178.31,60.75,182.69,Orthodox,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Wes Albritton,0,0.0,-0,177.8,84.60000000000001,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Alatengheili,16,8.0,2,165.1,60.75,167.64000000000001,Orthodox,31,2.94,0.33,4.58,0.61,1.78,0.39,0.72,0.0
24,Pat Audinwood,11,2.0,1,182.88,69.75,187.37,Orthodox,36,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0
25,Derek Anderson,14,3.0,0,182.88,69.75,187.37,Orthodox,32,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0
26,Daniel Acacio,30,1.0,-0,172.72,81.0,176.96,Orthodox,45,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0
27,Erik Apple,10,3.0,0,182.88,76.5,187.37,Orthodox,45,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1
28,Mostapha Al-Turk,6,0.0,-0,187.96,110.25,195.58,Orthodox,49,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0
29,George Allen,13,1.0,-2,187.96,92.25,192.57,Open Stance,55,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0
30,Adlan Amagov,14,2.0,1,187.96,76.5,193.04,Orthodox,36,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0
31,Alfonso Alcarez,1,0.0,-1,160.02,65.25,163.95,Orthodox,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Garrett Armfield,8,0.0,-0,167.64,60.75,177.8,Orthodox,26,2.56,0.29,3.53,0.59,0.0,0.0,0.66,0.0
33,Rostem Akman,6,0.0,-0,177.8,76.5,182.88,Switch,31,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0
34,Juan Andres Luna,12,1.0,0,170.18,56.25,182.88,Orthodox,27,3.27,0.31,3.0,0.65,0.0,0.0,0.0,0.0
35,Lowell Anderson,0,0.0,-0,167.64,72.0,171.75,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Andre Amado,6,0.0,-1,182.88,69.3,187.37,Orthodox,37.31,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0
37,Rich Attonito,10,5.0,0,177.8,76.5,182.88,Orthodox,45,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
38,Javi Alanis,0,0.0,-0,167.64,60.75,171.75,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Karl Amoussou,27,7.0,2,180.34,83.25,184.77,Orthodox,37,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0
40,Maiara Amanajas dos Santos,7,0.0,-0,165.1,51.75,169.15,Southpaw,35,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0
41,Adam Antolin,12,3.0,0,165.1,56.25,160.02,Orthodox,40,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0
42,Scott Adams,8,0.0,-0,182.88,101.25,187.37,Southpaw,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Javy Ayala,10,5.0,0,185.42,119.25,189.97,Orthodox,34,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0
44,Kenji Arai,15,1.0,-5,177.8,65.25,182.16,Southpaw,43,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0
45,Askar Askar,11,1.0,0,170.18,65.25,175.26,Orthodox,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Hunter Azure,9,0.0,-0,172.72,65.25,175.26,Orthodox,30,3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3
47,Thomas Almeida,22,5.0,0,170.18,65.25,177.8,Southpaw,31,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0
48,Gilles Arsene,1,0.0,-0,175.26,85.5,179.56,Southpaw,37.31,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0
49,Hitomi Akano,18,1.0,-0,162.56,60.75,166.55,Southpaw,48,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5
50,Raphael Assuncao,28,9.0,0,165.1,60.75,167.64000000000001,Orthodox,40,3.24,0.41,2.41,0.67,1.47,0.38,0.78,0.3
51,Brendan Allen,20,5.0,0,187.96,83.25,190.5,Orthodox,27,3.99,0.55,4.01,0.44,1.31,0.44,0.5,1.5
52,Shamil Abdurakhimov,20,7.0,0,190.5,105.75,193.04,Orthodox,41,2.6,0.44,2.8,0.58,1.09,0.23,0.47,0.2
53,Iuri Alcantara,35,1.0,-0,175.26,60.75,180.34,Southpaw,42,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
54,Joey Armstrong,5,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Thiago Alves,23,1.0,-0,175.26,76.5,177.8,Orthodox,39,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
56,Hamdy Abdelwahab,6,0.0,-0,187.96,118.8,182.88,Southpaw,29,3.87,0.52,3.13,0.59,3.0,0.75,0.0,0.0
57,Eddie Alvarez,29,6.0,0,175.26,69.75,175.26,Orthodox,38,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
58,Viviane Araujo,11,4.0,0,162.56,56.25,172.72,Orthodox,36,4.82,0.48,5.33,0.56,2.03,0.48,0.9,0.5
59,Andrei Arlovski,34,2.0,-0,190.5,108.0,195.58,Orthodox,43,3.79,0.45,3.2,0.57,0.4,0.36,0.76,0.2
60,Razak Al-Hassan,13,5.0,0,187.96,92.25,192.57,Orthodox,40,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0
61,Tom Aspinall,12,3.0,0,195.58,115.2,198.12,Orthodox,29,7.41,0.65,2.87,0.64,4.0,1.0,1.0,2.0
62,Juan Alcain,1,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Levi Alford,1,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Jailton Almeida,17,2.0,0,190.5,92.25,200.66,Orthodox,31,3.56,0.57,0.43,0.11,7.18,0.75,0.5,3.2
65,Jaime Alvarez,6,0.0,-0,172.72,56.25,175.26,Orthodox,34,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0
66,Marcelo Aguiar,2,0.0,-1,177.8,76.5,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Chris Avila,5,0.0,-0,177.8,65.25,182.16,Orthodox,29,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0
68,Shinsho Anzai,10,3.0,0,170.18,76.5,177.8,Orthodox,37,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
69,Abu Azaitar,14,3.0,1,175.26,83.25,193.04,Orthodox,36,5.21,0.44,5.35,0.5,0.5,0.25,0.4,0.0
70,Reese Andy,7,0.0,-0,182.88,92.25,187.37,Orthodox,49,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0
71,Sarah Alpar,9,0.0,-0,162.56,60.75,160.02,Southpaw,31,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4
72,Ashiek Ajim,6,0.0,-0,172.72,60.75,180.34,Switch,28,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0
73,Cesar Arzamendia,8,0.0,-0,180.34,69.75,184.77,Orthodox,31,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4
74,Pablo Alfonso,9,0.0,-0,172.72,65.25,176.96,Orthodox,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Jose Augusto,6,0.0,-0,190.5,112.95,195.18,Orthodox,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Fabio Aguiar,17,1.0,0,182.88,83.25,187.37,Orthodox,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Daichi Abe,6,0.0,-0,180.34,76.5,180.34,Orthodox,31,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
78,Bertrand Amoussou,1,0.0,-0,172.72,85.5,176.96,Orthodox,37.31,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0
79,Olivier Aubin-Mercier,11,5.0,0,175.26,69.75,177.8,Southpaw,33,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
80,Irene Aldana,14,6.0,0,175.26,60.75,172.72,Orthodox,34,5.39,0.39,5.71,0.6,0.2,0.5,0.81,0.3
81,Joel Alvarez,19,3.0,0,190.5,69.75,195.58,Orthodox,29,3.44,0.44,3.68,0.49,0.0,0.0,0.0,1.2
82,Nariman Abbasov,28,4.0,0,172.72,69.75,167.64000000000001,Orthodox,28,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0
83,Khusein Askhabov,23,0.0,0,172.72,60.75,176.96,Orthodox,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Corey Anderson,14,5.0,0,190.5,92.25,200.66,Orthodox,33,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0
85,Antonio Arroyo,9,0.0,-0,190.5,83.25,185.42000000000002,Orthodox,33,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2
86,Royce Alger,3,0.0,-0,177.8,89.55,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Ericka Almeida,7,0.0,-0,167.64,51.75,171.75,Orthodox,33,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0
88,Jessica Andrade,23,9.0,0,154.94,56.25,157.48,Orthodox,31,6.16,0.5,5.16,0.53,2.85,0.55,0.66,0.5
89,Edwin Aguilar,26,1.0,-0,177.8,83.25,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Amir Albazi,15,1.0,0,165.1,56.25,172.72,Orthodox,29,3.79,0.42,3.01,0.55,3.09,0.62,0.66,1.2
91,Leon Aliu,10,2.0,0,182.88,83.25,187.96,Orthodox,33,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0
92,Ibo Aslan,8,0.0,-0,190.5,92.25,195.18,Orthodox,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Jessin Ayari,16,6.0,0,182.88,69.75,185.42000000000002,Orthodox,30,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3
94,John Allan,13,7.0,0,185.42,92.25,190.5,Orthodox,29,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8
95,JJ Aldrich,11,5.0,0,165.1,56.25,170.18,Southpaw,30,4.05,0.45,4.54,0.6,0.9,0.37,0.75,0.0
96,Alen Amedovski,8,0.0,-0,177.8,83.25,187.96,Orthodox,34,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0
97,Felipe Arantes,18,1.0,-1,172.72,60.75,185.42000000000002,Orthodox,34,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
98,Lucas Almeida,14,1.0,0,180.34,65.25,180.34,Orthodox,31,6.6,0.47,5.63,0.48,0.0,0.0,0.5,0.0
99,Klidson Abreu,15,4.0,0,182.88,92.25,187.96,Orthodox,30,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0
100,Romie Aram,7,0.0,-0,177.8,76.5,182.16,Orthodox,45,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0
101,Jose Alday,14,6.0,1,170.18,60.75,172.72,Orthodox,31,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0
102,Herdem Alacabek,5,0.0,-0,187.96,92.25,190.5,Orthodox,31,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0
103,Chalid Arrab,7,0.0,-0,180.34,92.25,184.77,Orthodox,47,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0
104,Azunna Anyanwu,14,5.0,0,185.42,112.95,189.97,Orthodox,41,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0
105,Zarrukh Adashev,4,0.0,-0,165.1,56.25,165.1,Southpaw,30,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5
106,Shinya Aoki,39,7.0,0,180.34,69.3,184.77,Southpaw,39,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0
107,John Alessio,35,1.0,-0,177.8,69.75,182.88,Orthodox,43,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
108,John Albert,6,0.0,-0,172.72,60.75,172.72,Orthodox,36,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
109,Ildemar Alcantara,21,1.0,-0,187.96,83.25,198.12,Orthodox,40,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
110,Aoriqileng,24,9.0,0,170.18,60.75,175.26,Orthodox,29,6.07,0.48,7.18,0.48,1.57,0.45,0.55,0.0
111,Juan Adams,5,0.0,-0,195.58,119.25,203.2,Orthodox,30,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0
112,Julia Avila,9,0.0,-0,170.18,60.75,172.72,Orthodox,34,3.18,0.44,2.86,0.55,0.67,0.33,0.61,0.3
113,Matt Andersen,14,8.0,1,187.96,103.5,192.57,Southpaw,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Blas Avena,8,0.0,-0,182.88,76.5,187.96,Orthodox,39,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
115,Makwan Amirkhani,17,8.0,0,177.8,65.25,182.88,Southpaw,34,1.35,0.44,2.98,0.46,4.15,0.43,0.38,1.1
116,Asjabharan,7,0.0,-0,167.64,60.75,171.75,Orthodox,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Jessica Aguilar,20,8.0,0,160.02,51.75,160.02,Orthodox,40,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2
118,Kenneth Alexander,7,0.0,-0,175.26,69.75,179.56,Orthodox,45,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0
119,Ricardo Almeida,13,5.0,0,182.88,76.5,187.96,Orthodox,46,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
120,Andy Anderson,0,0.0,-0,167.64,108.0,171.75,Orthodox,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Veta Arteaga,3,0.0,-0,170.18,56.25,174.36,Orthodox,37.31,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0
122,Tom Aaron,5,0.0,-0,178.31,69.75,182.69,Orthodox,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,David Avellan,2,0.0,-0,175.26,83.25,179.56,Orthodox,37.31,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0
124,John Adajar,6,0.0,-0,175.26,76.5,190.5,Orthodox,31,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0
125,Hashem Arkhagha,6,0.0,-0,187.96,83.25,190.5,Orthodox,33,1.84,0.44,8.97,0.43,0.0,0.0,0.5,0.0
126,Bill Algeo,16,7.0,0,182.88,65.25,185.42000000000002,Switch,33,5.68,0.53,4.14,0.46,0.77,0.38,0.55,0.0
127,Brett Albee,3,0.0,-0,178.31,101.25,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Jermaine Andre,14,4.0,0,170.18,90.0,174.36,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Luciano Azevedo,17,9.0,1,190.5,72.45,195.18,Orthodox,41,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0
130,Cyril Asker,9,0.0,-0,182.88,111.15,187.96,Orthodox,37,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
131,Tristan Arenal,7,0.0,-0,178.31,69.75,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Mike Aina,14,6.0,1,175.26,69.75,179.56,Orthodox,37.31,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0
133,Mariya Agapova,10,4.0,0,167.64,56.25,172.72,Southpaw,25,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9
134,Megan Anderson,11,5.0,0,182.88,65.25,182.88,Orthodox,32,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5
135,Teddy Ash,14,5.0,0,185.42,83.25,185.42000000000002,Switch,33,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0
136,Anthony Adams,8,0.0,-0,185.42,83.25,193.04,Orthodox,34,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0
137,Ricardo Abreu,5,0.0,-0,180.34,83.25,184.77,Orthodox,38,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7
138,Christian Aguilera,14,8.0,0,175.26,76.5,182.88,Switch,31,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0
139,Gadzhimurad Antigulov,20,8.0,0,180.34,92.25,177.8,Orthodox,35,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4
140,Yoshihiro Akiyama,14,6.0,0,177.8,76.5,190.5,Orthodox,47,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0
141,Ikram Aliskerov,13,1.0,0,182.88,83.25,193.04,Southpaw,30,3.26,0.58,7.91,0.41,6.98,0.33,0.0,7.0
142,Askar Askarov,14,1.0,1,167.64,56.25,170.18,Orthodox,30,3.05,0.54,2.8,0.57,2.6,0.24,0.66,0.4
143,David Abbott,10,1.0,-0,182.88,119.25,187.37,Switch,37.31,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0
144,Olaf Alfonso,8,0.0,2-0,187.96,76.5,192.57,Orthodox,48,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7
145,Levi Avera,18,1.0,-0,185.42,76.5,189.97,Orthodox,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Jaqueline Amorim,6,0.0,-0,160.02,51.75,163.95,Orthodox,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Anthony Alves,1,0.0,-0,178.31,77.0,182.69,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Austin Arnett,16,6.0,0,182.88,65.25,182.88,Orthodox,31,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
149,Jesus Aguilar,8,0.0,-0,162.56,56.25,157.48,Orthodox,26,2.01,0.46,1.17,0.66,3.77,0.37,0.0,1.3
150,Hiroyuki Abe,8,0.0,5-3,167.64,65.25,171.75,Orthodox,37.31,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0
151,Mike Altman,1,0.0,-0,177.8,83.25,182.16,Orthodox,37.31,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0
152,Akbarh Arreola,23,1.0,-1,177.8,69.75,180.34,Southpaw,39,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
153,Junior Albini,14,6.0,0,190.5,118.8,187.96,Orthodox,31,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0
154,Hector Aldana,4,0.0,-0,180.34,76.5,182.88,Orthodox,34,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0
155,Ben Alloway,18,8.0,0,180.34,76.5,193.04,Orthodox,41,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
156,Rico Altamirano,4,0.0,-0,177.8,76.5,182.16,Orthodox,37.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Mauricio Alonso,13,7.0,0,187.96,76.5,192.57,Orthodox,42,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0
158,Chad Anheliger,12,6.0,0,167.64,60.75,162.56,Orthodox,36,3.51,0.43,3.31,0.55,0.0,0.0,0.47,1.0
159,Jimmy Ambriz,17,2.0,-1,187.96,141.75,192.57,Southpaw,52,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8
160,Papy Abedi,10,4.0,0,180.34,83.25,184.77,Southpaw,44,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3
161,Nurullo Aliev,7,0.0,-0,177.8,69.75,182.88,Orthodox,22,6.52,0.58,0.65,0.4,3.26,0.2,0.0,0.0
162,Eryk Anders,14,7.0,0,185.42,83.25,190.5,Southpaw,35,3.26,0.47,4.2,0.5,1.57,0.25,0.75,0.1
163,Kevin Aguilar,17,5.0,0,170.18,69.75,185.42000000000002,Orthodox,34,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0
164,Junior Assuncao,16,6.0,0,175.26,65.25,182.88,Orthodox,41,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
165,Jose Aldo,31,8.0,0,170.18,60.75,177.8,Orthodox,36,3.57,0.46,3.74,0.6,0.49,0.54,0.91,0.1
166,Sam Alvey,33,1.0,-1,187.96,83.25,190.5,Southpaw,36,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1
167,Viscardi Andrade,19,6.0,0,180.34,76.5,190.5,Orthodox,38,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
168,Art Arciniega,15,7.0,0,172.72,65.25,176.96,Orthodox,41,1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0
169,Gilbert Aldana,6,0.0,-0,185.42,112.5,189.97,Orthodox,45,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0
170,Arman Ashimov,11,3.0,1,167.64,56.25,171.75,Orthodox,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Warlley Alves,15,5.0,0,180.34,76.5,182.88,Orthodox,31,3.07,0.48,3.63,0.51,1.42,0.52,0.78,1.1
172,Marcio Alexandre Junior,17,4.0,0,182.88,83.25,190.5,Southpaw,33,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
173,JJ Ambrose,28,7.0,0,177.8,76.5,182.16,Orthodox,37.31,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0
174,Magno Almeida,10,3.0,0,182.88,69.75,187.37,Orthodox,37,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0
175,Angga,13,3.0,0,170.18,65.25,172.72,Orthodox,33,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0
176,Magomed Ankalaev,18,1.0,0,190.5,92.25,190.5,Orthodox,30,3.64,0.54,2.14,0.6,0.94,0.33,0.86,0.0
177,Saad Awad,20,9.0,0,180.34,69.75,184.77,Orthodox,39,2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5
178,Angelo Antonio,1,0.0,-0,178.31,92.25,182.69,Orthodox,37.31,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0
179,Igor Araujo,25,9.0,0,185.42,76.5,195.58,Orthodox,42,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
180,Amilcar Alves,15,1.0,-0,182.88,76.5,187.37,Southpaw,34,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0
181,Victor Altamirano,11,2.0,0,172.72,56.25,177.8,Switch,31,7.04,0.6,5.32,0.5,2.23,0.41,0.72,0.0
182,Israel Albuquerque,0,0.0,-0,178.31,83.25,182.69,Orthodox,37.31,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0
183,Matt Arroyo,3,0.0,-0,177.8,76.5,182.88,Orthodox,40,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
184,Yoji Anjo,0,0.0,-1,180.34,92.25,184.77,Orthodox,55,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0
185,Amir Aliakbari,10,1.0,0,190.5,112.5,195.18,Orthodox,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Julius Anglickas,5,0.0,-0,190.5,92.25,195.18,Orthodox,31,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1
187,Dan Argueta,8,0.0,-0,170.18,65.25,172.72,Southpaw,29,1.8,0.45,2.13,0.39,1.0,0.33,0.5,0.0
188,Sultan Aliev,15,3.0,0,180.34,76.5,187.96,Orthodox,38,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0
189,Sean Alvarez,4,0.0,-0,182.88,105.75,187.37,Orthodox,51,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0
190,Aleksandra Albu,3,0.0,-0,157.48,51.75,160.02,Orthodox,32,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4
191,Ali AlQaisi,8,0.0,-0,167.64,60.75,172.72,Orthodox,32,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
192,Nick Agallar,24,6.0,0,172.72,69.75,176.96,Orthodox,43,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0
